"fec","fue","issn","eissn","revista_id","tic","categoria_id","edicion_id","idioma_id","region_id","editor_id","jcrDireccion_id","frecPublicacion","citasTotal","jif","jifSinAutocitas","jif5Anos","indInmediatez","itemsCitables","itemsCitables.Articulos","jifPercPromedio","articles","revisionesTotal","vidaMediaCitasRecibidas","vidaMediaCitasRealizadas","indAutofactor","indInfluenciaArticulo","indAutofactorNormalizado","jci","jifRango","jifCuartil","jifPercentil","jciRango","jciCuartil","jciPercentil","jifPosicion","jciPosicion"
2020,"BORDON-REVISTA DE PEDAGOGIA","0210-5934","2340-6577",3215,"BORDON",70,2,8,28,5972,6930,"1 ISSUE/YEAR",372,NA,NA,NA,"0,147",34,"97,06",NA,33,1,"7.1","7.6","0,00039",NA,"0,08378","0,34",NA,NA,NA,"528/722","Q3","26,94",NA,528
2004,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",187,"0,405","0,238",NA,"0",13,"100","19,928",13,0,">10.0",">10.0",NA,NA,NA,NA,"111/138","Q4","19,93",NA,NA,NA,111,NA
2009,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,4411,7952,"2 ISSUES/YEAR",219,"0,242","0,182","0,276","0",9,"77,78","4,913",7,2,">10.0",">10.0","0,00015","0,092",NA,NA,"165/173","Q4","4,91",NA,NA,NA,165,NA
2020,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,552,7895,"1 ISSUE/YEAR",580,"0,78","0,78","1,686",NA,NA,NA,"12,979",NA,NA,"13.7",NA,"0,00046","0,37","0,09667","0,62","205/235","Q4","12,98","107/248","Q2","57,06",205,107
2007,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",204,"0,267","0,167","0,259","0",21,"100","7,566",21,0,">10.0",">10.0","0,00018","0,091",NA,NA,"141/152","Q4","7,57",NA,NA,NA,141,NA
1999,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",264,"0,29","0,072",NA,"0,053",38,"97,37","15,809",37,1,">10.0",">10.0",NA,NA,NA,NA,"115/136","Q4","15,81",NA,NA,NA,115,NA
2018,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,552,7895,"1 ISSUE/YEAR",446,"1,34","1,245","0,907","0,44",25,"80","45,833",20,5,"19.6","11.0","0,00026","0,205","0,03116","1,12","124/228","Q3","45,83","43/223","Q1","80,94",124,43
2010,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,4411,7952,"2 ISSUES/YEAR",287,"0,741","0,481","0,731","0,182",11,"100","35,372",11,0,">10.0",">10.0","0,00022","0,148",NA,NA,"122/188","Q3","35,37",NA,NA,NA,122,NA
2001,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",269,"0,176","0,118",NA,"0,054",37,"100","7,836",37,0,">10.0",">10.0",NA,NA,NA,NA,"124/134","Q4","7,84",NA,NA,NA,124,NA
2014,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,4411,7952,"2 ISSUES/YEAR",301,"0,386","0,273","0,506","0,1",10,"90","9,559",9,1,">10.0",">10.0","0,00015","0,111","0,01679",NA,"185/204","Q4","9,56",NA,NA,NA,185,NA
2005,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",258,"0,821","0,036",NA,"0,207",29,"96,55","42,708",28,1,">10.0",">10.0",NA,NA,NA,NA,"83/144","Q3","42,71",NA,NA,NA,83,NA
2003,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",286,"0,281","0,109",NA,"0,067",15,"86,67","9,191",13,2,">10.0",">10.0",NA,NA,NA,NA,"124/136","Q4","9,19",NA,NA,NA,124,NA
2006,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",294,"0,407","0,296",NA,"0,062",16,"93,75","18,707",15,1,">10.0",">10.0",NA,NA,NA,NA,"120/147","Q4","18,71",NA,NA,NA,120,NA
2008,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",221,"0,405","0,27","0,291","0",8,"100","16,987",8,0,">10.0",">10.0","0,00014","0,082",NA,NA,"130/156","Q4","16,99",NA,NA,NA,130,NA
2019,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,552,7895,"1 ISSUE/YEAR",524,"1,982","1,772","1,588","0,176",34,"94,12","60,897",32,2,"14.0","11.4","0,00049","0,402","0,06021","0,74","92/234","Q2","60,9","92/230","Q2","60,22",92,92
1997,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,4411,7953,"2 ISSUES/YEAR",138,"0,255","0,073",NA,"0,441",NA,NA,"16,906",NA,NA,">10.0",">10.0",NA,NA,NA,NA,"116/139","Q4","16,91",NA,NA,NA,116,NA
1998,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",205,"0,327","0,073",NA,"0",35,"100","20,07",35,0,">10.0",">10.0",NA,NA,NA,NA,"114/142","Q4","20,07",NA,NA,NA,114,NA
2000,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",187,"0,219","0,123",NA,"0,1",30,"100","11,314",30,0,">10.0",">10.0",NA,NA,NA,NA,"122/137","Q4","11,31",NA,NA,NA,122,NA
2002,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,22,94,4411,7952,"2 ISSUES/YEAR",226,"0,358","0,149",NA,"0,074",27,"100","19,63",27,0,">10.0",">10.0",NA,NA,NA,NA,"109/135","Q4","19,63",NA,NA,NA,109,NA
2013,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,4411,7952,"2 ISSUES/YEAR",238,"0,412","0,412","0,444",NA,NA,NA,"12,312",NA,NA,">10.0",">10.0","0,00015","0,124","0,01636",NA,"175/199","Q4","12,31",NA,NA,NA,175,NA
2012,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,4411,7952,"2 ISSUES/YEAR",238,"0,846","0,538","0,892","0,105",19,"100","33,756",19,0,">10.0",">10.0","0,00027","0,212",NA,NA,"131/197","Q3","33,76",NA,NA,NA,131,NA
2016,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,552,7895,"1 ISSUE/YEAR",331,"0,368","0,368","0,551","0,095",21,"95,24","6,84",20,1,">10.0",">10.0","0,00016","0,147","0,01897",NA,"198/212","Q4","6,84",NA,NA,NA,198,NA
2017,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,552,7895,"1 ISSUE/YEAR",552,"0,5","0,433","0,524","3,25",32,"96,88","10,987",31,1,"17.4","8.0","0,0002","0,171","0,02308","0,22","199/223","Q4","10,99","190/218","Q4","13,07",199,190
2015,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,553,7895,"1 ISSUE/YEAR",278,"0,486","0,457","0,55","0",9,"100","16,507",9,0,">10.0",">10.0","0,00016","0,136","0,01869",NA,"175/209","Q4","16,51",NA,NA,NA,175,NA
2011,"BOTHALIA","0006-8241","2311-9284",3232,"BOTHALIA",215,3,8,94,4411,7952,"2 ISSUES/YEAR",385,"1","0,885","1,267","0,2",15,"86,67","40,263",13,2,">10.0",">10.0","0,00048","0,351",NA,NA,"114/190","Q3","40,26",NA,NA,NA,114,NA
2020,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"6 ISSUES/YEAR",1331,"1,167","1,023","1,879","0,391",64,"95,31","2,482",61,3,"5.7","8.0","0,00216","0,577","0,45434","0,24","138/141","Q4","2,48","159/194","Q4","18,3",138,159
2012,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"5 ISSUES/YEAR",243,"0,848","0,762",NA,"0,092",130,"93,08","16,532",121,9,"3.5","9.3","0,00102",NA,NA,NA,"104/124","Q4","16,53",NA,NA,NA,104,NA
2018,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"6 ISSUES/YEAR",899,"1,41","1,321",NA,"0,246",69,"89,86","18,75",62,7,"5.3","9.1","0,00198",NA,"0,23595","0,28","111/136","Q4","18,75","123/133","Q4","7,89",111,123
2013,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"5 ISSUES/YEAR",315,"0,793","0,66","0,846","0,099",81,"92,59","13,2",75,6,"3.0","8.3","0,00128","0,232","0,14073",NA,"109/125","Q4","13,2",NA,NA,NA,109,NA
2010,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"5 ISSUES/YEAR",105,"0,708","0,625",NA,"0,085",47,"93,62","11,842",44,3,"2.6","8.5","0,00053",NA,NA,NA,"101/114","Q4","11,84",NA,NA,NA,101,NA
2019,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"6 ISSUES/YEAR",953,"0,897","0,842","1,348","0,175",63,"88,89","3,261",56,7,"5.9","8.2","0,00181","0,412","0,22139","0,27","134/138","Q4","3,26","128/136","Q4","6,25",134,128
2015,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"5 ISSUES/YEAR",489,"1,022","0,971","0,973","0,104",77,"93,51","15,726",72,5,"3.8","8.8","0,00166","0,296","0,18967",NA,"105/124","Q4","15,73",NA,NA,NA,105,NA
2011,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"5 ISSUES/YEAR",166,"0,767","0,66",NA,"0,138",58,"91,38","13,248",53,5,"2.9","8.1","0,00073",NA,NA,NA,"102/117","Q4","13,25",NA,NA,NA,102,NA
2014,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"5 ISSUES/YEAR",370,"0,789","0,758","0,776","0,114",44,"95,45","12,602",42,2,"3.1","9.3","0,00127","0,208","0,14231",NA,"108/123","Q4","12,6",NA,NA,NA,108,NA
2017,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"6 ISSUES/YEAR",799,"1,128","1,096","1,371","0,143",77,"93,51","11,328",72,5,"4.8","9.3","0,00226","0,388","0,26403","0,25","114/128","Q4","11,33","115/126","Q4","9,13",114,115
2016,"CARDIOVASCULAR JOURNAL OF AFRICA","1995-1892","1680-0745",3743,"CARDIOVASC. J. AFR.",34,3,8,94,1551,7240,"6 ISSUES/YEAR",600,"0,967","0,942","1,142","0,152",79,"88,61","11,508",70,9,"4.3","9.2","0,00163","0,281","0,18688",NA,"112/126","Q4","11,51",NA,NA,NA,112,NA
2020,"CATRINA-THE INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCES","1687-5052","2090-2786",3821,"CATRINA",94,2,8,28,2047,5240,"1 ISSUE/YEAR",54,NA,NA,NA,"0,083",24,"100",NA,24,0,NA,"11.8","0,00003",NA,"0,00721","0,06",NA,NA,NA,"298/302","Q4","1,49",NA,298
2020,"COMMUNICARE-JOURNAL FOR COMMUNICATION SCIENCES IN SOUTHERN AFRICA","0259-0069","0259-0069",4677,"COMMUNICARE",47,2,8,94,5158,7601,"2 ISSUES/YEAR",52,NA,NA,NA,"0,2",5,"100",NA,5,0,NA,"8.6","0,00031",NA,"0,06527","0,14",NA,NA,NA,"168/204","Q4","17,89",NA,168
2020,"COMMUNICATIO-SOUTH AFRICAN JOURNAL FOR COMMUNICATION THEORY AND RESEARCH","0250-0167","1753-5379",4678,"COMMUNICATIO",47,2,22,94,6314,7540,"4 ISSUES/YEAR",186,NA,NA,NA,"0,042",24,"100",NA,24,0,"7.3","8.7","0,00028",NA,"0,05939","0,17",NA,NA,NA,"165/204","Q4","19,36",NA,165
2020,"COMMUNITAS","1023-0556","2415-0525",4683,"COMMUNITAS",47,2,22,94,7014,5118,"1 ISSUE/YEAR",48,NA,NA,NA,"0",12,"100",NA,12,0,NA,"8.4","0,00006",NA,"0,01328","0,09",NA,NA,NA,"182/204","Q4","11,03",NA,182
2014,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,4,8,94,5269,1767,"6 ISSUES/YEAR",66,"0,133","0,108","0,221","0",45,"100","27,632",45,0,NA,">10.0","0,0004","0,164","0,04486",NA,"28/38","Q3","27,63",NA,NA,NA,28,NA
2012,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,4,8,94,5269,1767,"4 ISSUES/YEAR",60,"0,111","0,056",NA,"0",40,"100","27,632",40,0,NA,">10.0","0,00009",NA,NA,NA,"28/38","Q3","27,63",NA,NA,NA,28,NA
2016,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,4,8,94,5269,1023,"6 ISSUES/YEAR",158,"0,356","0,347","0,415","0,056",36,"100","42,308",36,0,"4.7",">10.0","0,00029","0,094","0,03383",NA,"23/39","Q3","42,31",NA,NA,NA,23,NA
2013,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,4,8,94,5269,1767,"4 ISSUES/YEAR",67,"0,164","0,137",NA,"0,024",41,"100","35,526",41,0,NA,">10.0","0,00024",NA,"0,02649",NA,"25/38","Q3","35,53",NA,NA,NA,25,NA
2011,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,4,8,94,5269,1767,"4 ISSUES/YEAR",41,"0,316","0,237",NA,"0,03",33,"100","52,857",33,0,NA,">10.0","0,00017",NA,NA,NA,"17/35","Q2","52,86",NA,NA,NA,17,NA
2017,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,4,8,94,5269,1023,"6 ISSUES/YEAR",183,"0,225","0,198","0,427","0",31,"100","21,25",31,0,"5.5","12.1","0,00036","0,11","0,04235","0,44","32/40","Q4","21,25","44/56","Q4","22,32",32,44
2019,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,4,8,94,5269,1023,"6 ISSUES/YEAR",191,"0,204","0,194","0,301","0",16,"93,75","14,444",15,1,"6.9","10.9","0,00033","0,106","0,04054","0,3","39/45","Q4","14,44","48/57","Q4","16,67",39,48
2018,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,4,8,94,5269,1023,"6 ISSUES/YEAR",218,"0,255","0,164","0,417","0,026",38,"100","18,293",38,0,"6.1","10.8","0,0003","0,09","0,03606","0,33","34/41","Q4","18,29","45/57","Q4","21,93",34,45
2020,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,1,8,94,5269,1023,"6 ISSUES/YEAR",298,"0,316","0,215","0,408","0,077",52,"96,15","18,889",50,2,"7.6","11.5","0,00064","0,258","0,13611","0,25","37/45","Q4","18,89","46/57","Q4","20,18",37,46
2020,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,4,8,94,5269,1023,"6 ISSUES/YEAR",298,"0,316","0,215","0,408","0,077",52,"96,15","18,889",50,2,"7.6","11.5","0,00064","0,258","0,13611","0,25","37/45","Q4","18,89","46/57","Q4","20,18",37,46
2015,"CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES","0256-0046","1992-6049",5100,"CRIT. ARTS",60,4,8,94,5269,1767,"6 ISSUES/YEAR",130,"0,409","0,352","0,396","0,025",40,"97,5","56,579",39,1,"5.5",">10.0","0,00046","0,166","0,05202",NA,"17/38","Q2","56,58",NA,NA,NA,17,NA
2020,"CURRENT ALLERGY & CLINICAL IMMUNOLOGY","1609-3607","1609-3607",5302,"CURR. ALLERGY CLIN. IMMUNOL.",10,2,8,94,208,7744,"4 ISSUES/YEAR",118,NA,NA,NA,"0,059",17,"41,18",NA,7,10,"5.7","7.7","0,00012",NA,"0,02708","0,05",NA,NA,NA,"32/37","Q4","14,86",NA,32
2011,"CURRENT ALLERGY & CLINICAL IMMUNOLOGY","1609-3607","1609-3607",5302,"CURR. ALLERGY CLIN. IMMUNOL.",127,3,8,94,208,7744,"4 ISSUES/YEAR",23,"0,059","0,059",NA,NA,NA,NA,"3,665",NA,NA,NA,NA,"0,00006",NA,NA,NA,"138/139","Q4","1,08",NA,NA,NA,138,NA
2010,"CURRENT ALLERGY & CLINICAL IMMUNOLOGY","1609-3607","1609-3607",5302,"CURR. ALLERGY CLIN. IMMUNOL.",10,3,8,94,208,7744,"4 ISSUES/YEAR",36,"0,196","0,157",NA,"0,08",25,"64","8,514",16,9,NA,"7.2","0,00007",NA,NA,NA,"19/22","Q4","15,91",NA,NA,NA,19,NA
2012,"CURRENT ALLERGY & CLINICAL IMMUNOLOGY","1609-3607","1609-3607",5302,"CURR. ALLERGY CLIN. IMMUNOL.",10,3,8,94,208,7744,"4 ISSUES/YEAR",30,"0,152","0,087",NA,"0,1",30,"70","1,634",21,9,NA,"6.4","0,00009",NA,NA,NA,"23/23","Q4","2,17",NA,NA,NA,23,NA
2012,"CURRENT ALLERGY & CLINICAL IMMUNOLOGY","1609-3607","1609-3607",5302,"CURR. ALLERGY CLIN. IMMUNOL.",127,3,8,94,208,7744,"4 ISSUES/YEAR",30,"0,152","0,087",NA,"0,1",30,"70","1,634",21,9,NA,"6.4","0,00009",NA,NA,NA,"136/137","Q4","1,09",NA,NA,NA,136,NA
2011,"CURRENT ALLERGY & CLINICAL IMMUNOLOGY","1609-3607","1609-3607",5302,"CURR. ALLERGY CLIN. IMMUNOL.",10,3,8,94,208,7744,"4 ISSUES/YEAR",23,"0,059","0,059",NA,NA,NA,NA,"3,665",NA,NA,NA,NA,"0,00006",NA,NA,NA,"23/24","Q4","6,25",NA,NA,NA,23,NA
2010,"CURRENT ALLERGY & CLINICAL IMMUNOLOGY","1609-3607","1609-3607",5302,"CURR. ALLERGY CLIN. IMMUNOL.",127,3,8,94,208,7744,"4 ISSUES/YEAR",36,"0,196","0,157",NA,"0,08",25,"64","8,514",16,9,NA,"7.2","0,00007",NA,NA,NA,"133/134","Q4","1,12",NA,NA,NA,133,NA
2020,"CURRENT WRITING-TEXT AND RECEPTION IN SOUTHERN AFRICA","1013-929X","2159-9130",5503,"CURR. WRIT.",140,2,8,94,5269,1023,"2 ISSUES/YEAR",43,NA,NA,NA,"0",19,"100",NA,19,0,NA,"12.0","0,00006",NA,"0,0145","0,76",NA,NA,NA,"76/193","Q2","60,88",NA,76
2020,"DE ARTE","0004-3389","2471-4100",5574,"DE ARTE",19,2,22,94,6314,7540,"2 ISSUES/YEAR",19,NA,NA,NA,"0",15,"100",NA,15,0,NA,"13.9","0,00009",NA,"0,01893","0,24",NA,NA,NA,"74/139","Q3","47,12",NA,74
2020,"DE JURE","1466-3597","2225-7160",5575,"DE JURE",135,2,22,94,5051,5367,"2 ISSUES/YEAR",47,NA,NA,NA,"0",18,"94,44",NA,17,1,NA,"12.1","0,00008",NA,"0,01687","0,11",NA,NA,NA,"346/403","Q4","14,27",NA,346
2015,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",118,4,22,28,7550,7051,"12 ISSUES/YEAR",1523,"0,663","0,64",NA,"0,392",79,"96,2","7,825",76,3,"7.1","7.0","0,00269",NA,"0,30709",NA,"68/75","Q4","10",NA,NA,NA,68,NA
2019,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",233,3,22,28,7550,7050,"12 ISSUES/YEAR",2292,"0,678","0,587","0,969","0,51",102,"93,14","3,663",95,7,"9.2","8.0","0,00169","0,257","0,20633","0,23","181/193","Q4","6,48","269/280","Q4","4,11",181,269
2020,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",118,4,22,28,7550,7050,"12 ISSUES/YEAR",3247,"1,628","1,491","1,581","0,644",174,"91,38","16,423",159,15,"9.1","7.6","0,00206","0,379","0,43359","0,39","75/88","Q4","15,34","98/112","Q4","12,95",75,98
2019,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",118,4,22,28,7550,7050,"12 ISSUES/YEAR",2292,"0,678","0,587","0,969","0,51",102,"93,14","3,663",95,7,"9.2","8.0","0,00169","0,257","0,20633","0,23","84/87","Q4","4,02","86/87","Q4","1,72",84,86
2015,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",117,3,22,28,7550,7051,"12 ISSUES/YEAR",1523,"0,663","0,64",NA,"0,392",79,"96,2","7,825",76,3,"7.1","7.0","0,00269",NA,"0,30709",NA,"83/88","Q4","6,25",NA,NA,NA,83,NA
2017,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",233,3,22,28,7550,7050,"12 ISSUES/YEAR",1971,"0,717","0,677",NA,"0,052",97,"88,66","5,509",86,11,"8.2","7.9","0,00207",NA,"0,24235","0,29","169/181","Q4","6,91","242/262","Q4","7,82",169,242
2016,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",118,4,22,28,7550,7051,"12 ISSUES/YEAR",1683,"0,628","0,628",NA,NA,NA,NA,"6,234",NA,NA,"7.6",NA,"0,00201",NA,"0,23049",NA,"72/77","Q4","7,14",NA,NA,NA,72,NA
2020,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",117,3,22,28,7550,7050,"12 ISSUES/YEAR",3247,"1,628","1,491","1,581","0,644",174,"91,38","16,423",159,15,"9.1","7.6","0,00206","0,379","0,43359","0,39","95/108","Q4","12,5","122/150","Q4","19",95,122
2018,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",117,3,22,28,7550,7050,"12 ISSUES/YEAR",2228,"0,694","0,598","0,979","0,129",124,"83,87","5,326",104,20,"8.7","7.7","0,00197","0,264","0,23446","0,27","96/98","Q4","2,55","96/97","Q4","1,55",96,96
2017,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",117,3,22,28,7550,7050,"12 ISSUES/YEAR",1971,"0,717","0,677",NA,"0,052",97,"88,66","5,509",86,11,"8.2","7.9","0,00207",NA,"0,24235","0,29","92/94","Q4","2,66","91/93","Q4","2,69",92,91
2019,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",117,3,22,28,7550,7050,"12 ISSUES/YEAR",2292,"0,678","0,587","0,969","0,51",102,"93,14","3,663",95,7,"9.2","8.0","0,00169","0,257","0,20633","0,23","102/102","Q4","0,49","102/102","Q4","0,49",102,102
2018,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",118,4,22,28,7550,7050,"12 ISSUES/YEAR",2228,"0,694","0,598","0,979","0,129",124,"83,87","5,326",104,20,"8.7","7.7","0,00197","0,264","0,23446","0,27","77/82","Q4","6,71","80/82","Q4","3,05",77,80
2020,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",233,3,22,28,7550,7050,"12 ISSUES/YEAR",3247,"1,628","1,491","1,581","0,644",174,"91,38","16,423",159,15,"9.1","7.6","0,00206","0,379","0,43359","0,39","160/203","Q4","21,43","297/373","Q4","20,51",160,297
2016,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",117,3,22,28,7550,7051,"12 ISSUES/YEAR",1683,"0,628","0,628",NA,NA,NA,NA,"6,234",NA,NA,"7.6",NA,"0,00201",NA,"0,23049",NA,"87/90","Q4","3,89",NA,NA,NA,87,NA
2017,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",118,4,22,28,7550,7050,"12 ISSUES/YEAR",1971,"0,717","0,677",NA,"0,052",97,"88,66","5,509",86,11,"8.2","7.9","0,00207",NA,"0,24235","0,29","74/79","Q4","6,96","76/79","Q4","4,43",74,76
2015,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",233,3,22,28,7550,7051,"12 ISSUES/YEAR",1523,"0,663","0,64",NA,"0,392",79,"96,2","7,825",76,3,"7.1","7.0","0,00269",NA,"0,30709",NA,"161/173","Q4","7,23",NA,NA,NA,161,NA
2018,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",233,3,22,28,7550,7050,"12 ISSUES/YEAR",2228,"0,694","0,598","0,979","0,129",124,"83,87","5,326",104,20,"8.7","7.7","0,00197","0,264","0,23446","0,27","174/186","Q4","6,72","256/272","Q4","6,07",174,256
2016,"EASTERN MEDITERRANEAN HEALTH JOURNAL","1020-3397","1687-1634",5975,"EAST MEDITERR. HEALTH J.",233,3,22,28,7550,7051,"12 ISSUES/YEAR",1683,"0,628","0,628",NA,NA,NA,NA,"6,234",NA,NA,"7.6",NA,"0,00201",NA,"0,23049",NA,"163/176","Q4","7,67",NA,NA,NA,163,NA
2010,"ECQUID NOVI-AFRICAN JOURNALISM STUDIES","0256-0054",NA,6176,"ECQUID NOVI-AFR. JOURNAL. STUD.",47,4,8,94,7316,6004,"2 ISSUES/YEAR",12,"0,333","0,286",NA,"0",10,"100","12,687",10,0,NA,"7.3","0,00004",NA,NA,NA,"59/67","Q4","12,69",NA,NA,NA,59,NA
2011,"ECQUID NOVI-AFRICAN JOURNALISM STUDIES","0256-0054",NA,6176,"ECQUID NOVI-AFR. JOURNAL. STUD.",47,4,8,94,5269,1767,"3 ISSUES/YEAR",31,"0,143","0,143",NA,"0",18,"100","3,472",18,0,NA,"6.3","0,00014",NA,NA,NA,"70/72","Q4","3,47",NA,NA,NA,70,NA
