"fec","fue","issn","eissn","revista_id","tic","categoria_id","edicion_id","idioma_id","region_id","editor_id","jcrDireccion_id","frecPublicacion","citasTotal","jif","jifSinAutocitas","jif5Anos","indInmediatez","itemsCitables","itemsCitables.Articulos","jifPercPromedio","articles","revisionesTotal","vidaMediaCitasRecibidas","vidaMediaCitasRealizadas","indAutofactor","indInfluenciaArticulo","indAutofactorNormalizado","jci","jifRango","jifCuartil","jifPercentil","jciRango","jciCuartil","jciPercentil","jifPosicion","jciPosicion"
1998,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,8,94,2121,7243,"2 ISSUES/YEAR",71,"0,48","0,373",NA,"0,081",37,"94,59","48,413",35,2,NA,">10.0",NA,NA,NA,NA,"33/63","Q3","48,41",NA,NA,NA,33,NA
2007,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,8,94,2126,7287,"2 ISSUES/YEAR",176,"0,407","0,358","0,505","0,047",43,"100","18,243",43,0,"5.6",">10.0","0,00078","0,173",NA,NA,"61/74","Q4","18,24",NA,NA,NA,61,NA
2003,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,8,94,2126,7287,"2 ISSUES/YEAR",108,"0,577","0,577",NA,"0",39,"100","46,094",39,0,"5.0",">10.0",NA,NA,NA,NA,"35/64","Q3","46,09",NA,NA,NA,35,NA
2000,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,8,94,2126,7287,"2 ISSUES/YEAR",96,"0,225","0,157",NA,"0,143",14,"100","20,455",14,0,NA,">10.0",NA,NA,NA,NA,"53/66","Q4","20,45",NA,NA,NA,53,NA
1997,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,22,94,2121,7244,"2 ISSUES/YEAR",35,"0,246","0,115",NA,"0,093",NA,NA,"30,469",NA,NA,NA,">10.0",NA,NA,NA,NA,"45/64","Q3","30,47",NA,NA,NA,45,NA
2014,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,22,94,2126,7287,"2 ISSUES/YEAR",418,"0,365","0,24","0,647","0,138",94,"94,68","10,326",89,5,"7.9",">10.0","0,00064","0,173","0,07146",NA,"83/92","Q4","10,33",NA,NA,NA,83,NA
2012,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,22,94,2126,7287,"2 ISSUES/YEAR",326,"0,969","0,796","0,785","0,038",52,"96,15","55,747",50,2,"5.9",">10.0","0,00085","0,233",NA,NA,"39/87","Q2","55,75",NA,NA,NA,39,NA
2010,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,22,94,2126,7287,"2 ISSUES/YEAR",266,"0,338","0,265","0,547","0,194",36,"97,22","18,675",35,1,"7.2",">10.0","0,00066","0,178",NA,NA,"68/83","Q4","18,67",NA,NA,NA,68,NA
2009,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,22,94,2126,7287,"2 ISSUES/YEAR",242,"0,42","0,395","0,515","0,1",30,"96,67","20,946",29,1,"6.7",">10.0","0,00077","0,18",NA,NA,"59/74","Q4","20,95",NA,NA,NA,59,NA
2002,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,8,94,2126,7287,"2 ISSUES/YEAR",140,"0,455","0,309",NA,"0,385",13,"100","39,844",13,0,"5.1","7.9",NA,NA,NA,NA,"39/64","Q3","39,84",NA,NA,NA,39,NA
2020,"AFRICAN ENTOMOLOGY","1021-3589","1026-4914",691,"AFR. ENTOMOL.",93,3,22,94,2126,7287,"2 ISSUES/YEAR",844,"1,188","1,134","0,96","0,1",50,"100","36,765",50,0,"8.3","14.3","0,00061","0,201","0,129","0,34","65/102","Q3","36,76","80/104","Q4","23,56",65,80
2014,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",871,"0,722","0,652","0,955","1,033",150,"99,33","27,597",149,1,"3.9","9.3","0,00194","0,263","0,21774",NA,"112/154","Q3","27,6",NA,NA,NA,112,NA
2011,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",330,"0,492","0,476",NA,"0",64,"96,88","27,419",62,2,"5.0","9.0","0,00117",NA,NA,NA,"113/155","Q3","27,42",NA,NA,NA,113,NA
2016,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",1199,"0,635","0,629","0,962","0,743",109,"97,25","22,258",106,3,"5.2","9.4","0,00233","0,243","0,26718",NA,"121/155","Q4","22,26",NA,NA,NA,121,NA
2010,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",295,"0,521","0,378",NA,"0,8",50,"98","29,739",49,1,"3.9","9.8","0,00086",NA,NA,NA,"108/153","Q3","29,74",NA,NA,NA,108,NA
2018,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",1861,"0,784","0,756","1,19","1,063",144,"95,83","18,438",138,6,"5.5","9.2","0,00282","0,286","0,3365","0,44","131/160","Q4","18,44","89/158","Q3","43,99",131,89
2013,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",691,"0,662","0,608","0,84","0,97",135,"95,56","27,885",129,6,"4.2","9.7","0,00161","0,25","0,1777",NA,"113/156","Q3","27,88",NA,NA,NA,113,NA
2019,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",2174,"0,69","0,687","1,114","1,08",213,"96,24","17,273",205,8,"6.1","9.5","0,00261","0,273","0,31867","0,47","137/165","Q4","17,27","93/164","Q3","43,6",137,93
2017,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",1628,"0,842","0,824","1,161","1,05",140,"99,29","28,065",139,1,"5.0","9.5","0,00254","0,263","0,2965","0,41","112/155","Q3","28,06","91/153","Q3","40,85",112,91
2015,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",898,"0,642","0,611","0,846","0,406",138,"100","26,774",138,0,"4.9","9.7","0,00215","0,257","0,24504",NA,"114/155","Q3","26,77",NA,NA,NA,114,NA
2012,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",435,"0,5","0,5",NA,"0,472",36,"100","24,839",36,0,"5.1","9.6","0,00126",NA,NA,NA,"117/155","Q4","24,84",NA,NA,NA,117,NA
2020,"AFRICAN HEALTH SCIENCES","1680-6905","1729-0503",693,"AFR. HEALTH SCI.",168,3,8,106,4060,7679,"4 ISSUES/YEAR",2825,"0,927","0,905","1,442","0,574",115,"96,52","18,639",111,4,"6.6","9.6","0,00299","0,355","0,62842","0,5","138/169","Q4","18,64","105/313","Q2","66,61",138,105
2020,"AFRICAN HISTORICAL REVIEW","1753-2523","1753-2531",694,"AFR. HIST. REV.",120,2,8,94,6314,7540,"2 ISSUES/YEAR",45,NA,NA,NA,"0",1,"0",NA,0,1,NA,NA,"0,00009",NA,"0,01943","0,4",NA,NA,NA,"299/485","Q3","38,45",NA,299
2014,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",271,3,22,94,1688,7947,"2 ISSUES/YEAR",151,"0,464","0,42","0,467","0,062",16,"93,75","12,917",15,1,"7.2",">10.0","0,00035","0,164","0,03936",NA,"143/154","Q4","7,47",NA,NA,NA,143,NA
2010,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"1 ISSUE/YEAR",124,"0,8","0,6",NA,"0,118",17,"94,12","34,651",16,1,"3.8",">10.0","0,00061",NA,NA,NA,"46/83","Q3","45,18",NA,NA,NA,46,NA
2011,"AFRICAN INVERTEBRATES","1681-5556","2305-2562",695,"AFR. INVERTEBR.",93,3,22,94,1688,7947,"1 ISSUE/YEAR",96,"0,432","0,27",NA,"0,276",29,"96,55","12,346",28,1,NA,">10.0","0,00043",NA,NA,NA,"67/86","Q4","22,67",NA,NA,NA,67,NA
