"source","research_area","issn_from_ajol","issn_from_issn_portal","issn_from_issn_portal2","source_url"
"East African Journal of Public Health","African Studies","0856-8960","2799-2128",NA,"https://www.ajol.info/index.php/eajph"
"Eastern Africa Journal of Rural Development","African Studies","0377-7103","0377-7103",NA,"https://www.ajol.info/index.php/eajrd"
"Eastern Africa Journal of Rural Development","African Studies","0377-7103","0377-7103",NA,"https://www.ajol.info/index.php/eajrd"
"Eastern Africa Social Science Research Review","African Studies","1684-4173","1027-1775","1684-4173","https://www.ajol.info/index.php/eassrr"
"Eastern Africa Social Science Research Review","African Studies","1684-4173","1027-1775","1684-4173","https://www.ajol.info/index.php/eassrr"
"Ethiopian Journal of Business and Economics (The)","African Studies","2410-2393","2311-9772",NA,"https://www.ajol.info/index.php/ejbe"
"Ethiopian Journal of Business and Economics (The)","African Studies","2410-2393","2311-9772",NA,"https://www.ajol.info/index.php/ejbe"
"Ethiopian Journal of Development Research","African Studies","0378-0813","0378-0813",NA,"https://www.ajol.info/index.php/ejdr"
"Ethiopian Journal of Development Research","African Studies","0378-0813","0378-0813",NA,"https://www.ajol.info/index.php/ejdr"
"Ethiopian Journal of Economics","African Studies","1993-3681","2957-7489","1993-3681","https://www.ajol.info/index.php/eje"
"Ethiopian Journal of Economics","African Studies","1993-3681","2957-7489","1993-3681","https://www.ajol.info/index.php/eje"
"Ethiopian Journal of Human Rights","African Studies",NA,"2307-6097",NA,"https://www.ajol.info/index.php/ejhr"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/ejss"
"Ethiopian Renaissance Journal of Social Sciences and Humanities","African Studies",NA,NA,NA,"https://www.ajol.info/index.php/erjssh"
"Ethiopian Renaissance Journal of Social Sciences and Humanities","African Studies",NA,NA,NA,"https://www.ajol.info/index.php/erjssh"
"Filosofia Theoretica: Journal of African Philosophy, Culture and Religions","African Studies","2408-5987",NA,NA,"https://www.ajol.info/index.php/ft"
"Filosofia Theoretica: Journal of African Philosophy, Culture and Religions","African Studies","2408-5987",NA,NA,"https://www.ajol.info/index.php/ft"
"Ghana Journal of Development Studies","African Studies","0855-6768",NA,NA,"https://www.ajol.info/index.php/gjds"
"Ghana Journal of Development Studies","African Studies","0855-6768",NA,NA,"https://www.ajol.info/index.php/gjds"
"Haki Journal of Human Rights","African Studies",NA,"2789-9845","2789-9837","https://www.ajol.info/index.php/hjhr"
"Ibadan Journal of Humanistic Studies","African Studies","2141-9744","0189-2622","2141-9744","https://www.ajol.info/index.php/ibjhs"
"Ibadan Journal of Humanistic Studies","African Studies","2141-9744","0189-2622","2141-9744","https://www.ajol.info/index.php/ibjhs"
"Indilinga: African Journal of Indigenous Knowledge Systems","African Studies","1683-0296","1683-0296",NA,"https://www.ajol.info/index.php/indilinga"
"Indilinga: African Journal of Indigenous Knowledge Systems","African Studies","1683-0296","1683-0296",NA,"https://www.ajol.info/index.php/indilinga"
"International Journal of Current Research in the Humanities","African Studies",NA,NA,NA,"https://www.ajol.info/index.php/ijcrh"
"International Journal of Current Research in the Humanities","African Studies",NA,NA,NA,"https://www.ajol.info/index.php/ijcrh"
"Journal of Educational Foundations","African Studies","1119-9210",NA,NA,"https://www.ajol.info/index.php/jef"
"Journal of Educational Foundations","African Studies","1119-9210",NA,NA,"https://www.ajol.info/index.php/jef"
NA,"African Studies",NA,NA,NA,"https://www.ajol.info/index.php/jid"
"Journal of Language, Technology & Entrepreneurship in Africa","African Studies","1998-1279",NA,NA,"https://www.ajol.info/index.php/jolte"
"Journal of Language, Technology & Entrepreneurship in Africa","African Studies","1998-1279",NA,NA,"https://www.ajol.info/index.php/jolte"
"Journal of Librarianship and Information Science in Africa","African Studies","1595-8922",NA,NA,"https://www.ajol.info/index.php/jlisa"
"Journal of Librarianship and Information Science in Africa","African Studies","1595-8922",NA,NA,"https://www.ajol.info/index.php/jlisa"
"Journal of Psychology in Africa","African Studies","1433-0237","1815-5626","1433-0237","https://www.ajol.info/index.php/jpa"
"Journal of Psychology in Africa","African Studies","1433-0237","1815-5626","1433-0237","https://www.ajol.info/index.php/jpa"
"Journal of Research in National Development","African Studies","1596-8308",NA,NA,"https://www.ajol.info/index.php/jorind"
"Journal of Research in National Development","African Studies","1596-8308",NA,NA,"https://www.ajol.info/index.php/jorind"
"Journal of Social Development in Africa","African Studies","1726-3700","1726-3700","1012-1080","https://www.ajol.info/index.php/jsda"
"Journal of Social Development in Africa","African Studies","1726-3700","1726-3700","1012-1080","https://www.ajol.info/index.php/jsda"
