"source","research_area","issn_from_ajol","issn_from_issn_portal","issn_from_issn_portal2","source_url"
"Nigerian Health Journal","Biology & Life Sciences",NA,NA,NA,"https://www.ajol.info/index.php/nhj"
"Nigerian Health Journal","Biology & Life Sciences",NA,NA,NA,"https://www.ajol.info/index.php/nhj"
"Nigerian Journal of Botany","Biology & Life Sciences",NA,NA,NA,"https://www.ajol.info/index.php/njbot"
"Nigerian Journal of Botany","Biology & Life Sciences",NA,NA,NA,"https://www.ajol.info/index.php/njbot"
"Nigerian Journal of Dental Research","Biology & Life Sciences",NA,"2636-4956","2714-4089","https://www.ajol.info/index.php/njdr"
"Nigerian Journal of Dental Research","Biology & Life Sciences",NA,"2636-4956","2714-4089","https://www.ajol.info/index.php/njdr"
"Nigerian Journal of Gastroenterology and Hepatology","Biology & Life Sciences","2251-0079","2251-0079",NA,"https://www.ajol.info/index.php/njgh"
"Nigerian Journal of Gastroenterology and Hepatology","Biology & Life Sciences","2251-0079","2251-0079",NA,"https://www.ajol.info/index.php/njgh"
"Nigerian Journal of General Practice","Biology & Life Sciences","1118-4647","1118-4647",NA,"https://www.ajol.info/index.php/njgp"
"Nigerian Journal of General Practice","Biology & Life Sciences","1118-4647","1118-4647",NA,"https://www.ajol.info/index.php/njgp"
"Nigerian Journal of Genetics","Biology & Life Sciences","0189-9686","0189-9686",NA,"https://www.ajol.info/index.php/njg"
"Nigerian Journal of Health and Biomedical Sciences","Biology & Life Sciences","1595-8272","1595-8272",NA,"https://www.ajol.info/index.php/njhbs"
"Nigerian Journal of Health and Biomedical Sciences","Biology & Life Sciences","1595-8272","1595-8272",NA,"https://www.ajol.info/index.php/njhbs"
"Nigerian Journal of Nutritional Sciences","Biology & Life Sciences","2805-4008","2805-4008","0189-0913","https://www.ajol.info/index.php/njns"
"Nigerian Journal of Nutritional Sciences","Biology & Life Sciences","2805-4008","2805-4008","0189-0913","https://www.ajol.info/index.php/njns"
"Nigerian Journal of Surgery","Biology & Life Sciences","1117-6806","1117-6806",NA,"https://www.ajol.info/index.php/njs"
"Nigerian Journal of Surgery","Biology & Life Sciences","1117-6806","1117-6806",NA,"https://www.ajol.info/index.php/njs"
NA,"Biology & Life Sciences",NA,NA,NA,"https://www.ajol.info/index.php/najfnr"
NA,"Biology & Life Sciences",NA,NA,NA,"https://www.ajol.info/index.php/najfnr"
"Orapuh Journal","Biology & Life Sciences",NA,"2644-3740",NA,"https://www.ajol.info/index.php/orapj"
"Orapuh Journal","Biology & Life Sciences",NA,"2644-3740",NA,"https://www.ajol.info/index.php/orapj"
"Orient Journal of Surgical Sciences","Biology & Life Sciences",NA,"2734-3138","2971-625X","https://www.ajol.info/index.php/ojss"
"Orient Journal of Surgical Sciences","Biology & Life Sciences",NA,"2734-3138","2971-625X","https://www.ajol.info/index.php/ojss"
"Ostrich: Journal of African Ornithology","Biology & Life Sciences","1727-947X",NA,NA,"https://www.ajol.info/index.php/ostrich"
"Ostrich: Journal of African Ornithology","Biology & Life Sciences","1727-947X",NA,NA,"https://www.ajol.info/index.php/ostrich"
"Plant Products Research Journal","Biology & Life Sciences","1119-2283","2349-0128",NA,"https://www.ajol.info/index.php/pprj"
"Plant Products Research Journal","Biology & Life Sciences","1119-2283","2349-0128",NA,"https://www.ajol.info/index.php/pprj"
"Revue Africaine de Chirurgie et Spécialités","Biology & Life Sciences","1997-3756",NA,NA,"https://www.ajol.info/index.php/racs"
"Revue Africaine de Chirurgie et Spécialités","Biology & Life Sciences","1997-3756",NA,NA,"https://www.ajol.info/index.php/racs"
"Revue de Médecine et de Pharmacie","Biology & Life Sciences","2410-8936",NA,NA,"https://www.ajol.info/index.php/rmp"
"Revue de Médecine et de Pharmacie","Biology & Life Sciences","2410-8936",NA,NA,"https://www.ajol.info/index.php/rmp"
"Rwanda Journal of Health Sciences","Biology & Life Sciences","2226-728X","2306-8876","2226-728X","https://www.ajol.info/index.php/rjhs"
"Rwanda Journal of Health Sciences","Biology & Life Sciences","2226-728X","2306-8876","2226-728X","https://www.ajol.info/index.php/rjhs"
"Rwanda Medical Journal","Biology & Life Sciences",NA,"2410-8626","2079-097X","https://www.ajol.info/index.php/rmj"
"Rwanda Medical Journal","Biology & Life Sciences",NA,"2410-8626","2079-097X","https://www.ajol.info/index.php/rmj"
"Savannah Journal of Medical Research and Practice","Biology & Life Sciences","2276-6839","2276-6839",NA,"https://www.ajol.info/index.php/sjmrp"
"Savannah Journal of Medical Research and Practice","Biology & Life Sciences","2276-6839","2276-6839",NA,"https://www.ajol.info/index.php/sjmrp"
"Science et Technique, Sciences de la Santé","Biology & Life Sciences","1011-6028",NA,NA,"https://www.ajol.info/index.php/stss"
"Science et Technique, Sciences de la Santé","Biology & Life Sciences","1011-6028",NA,NA,"https://www.ajol.info/index.php/stss"
"Science World Journal","Biology & Life Sciences","1597-6343","2756-391X","1597-6343","https://www.ajol.info/index.php/swj"
"Scopus: Journal of East African Ornithology","Biology & Life Sciences","2313-1799",NA,NA,"https://www.ajol.info/index.php/scopus"
"Scopus: Journal of East African Ornithology","Biology & Life Sciences","2313-1799",NA,NA,"https://www.ajol.info/index.php/scopus"
"Sokoto Journal of Medical Laboratory Science","Biology & Life Sciences",NA,"2536-7153",NA,"https://www.ajol.info/index.php/sokjmls"
"Sokoto Journal of Medical Laboratory Science","Biology & Life Sciences",NA,"2536-7153",NA,"https://www.ajol.info/index.php/sokjmls"
"Sokoto Journal of Veterinary Sciences","Biology & Life Sciences","1595-093X","1595-093X","2315-6201","https://www.ajol.info/index.php/sokjvs"
"Sokoto Journal of Veterinary Sciences","Biology & Life Sciences","1595-093X","1595-093X","2315-6201","https://www.ajol.info/index.php/sokjvs"
"South African Journal of Botany","Biology & Life Sciences",NA,NA,NA,"https://www.ajol.info/index.php/sajb"
"South African Journal of Botany","Biology & Life Sciences",NA,NA,NA,"https://www.ajol.info/index.php/sajb"
"South African Journal of Plant and Soil","Biology & Life Sciences","2167-034X","2167-034X","0257-1862","https://www.ajol.info/index.php/sajps"
"South African Journal of Plant and Soil","Biology & Life Sciences","2167-034X","2167-034X","0257-1862","https://www.ajol.info/index.php/sajps"
"South African Journal of Science","Biology & Life Sciences",NA,"1996-7489","0038-2353","https://www.ajol.info/index.php/sajsci"
"South African Journal of Science","Biology & Life Sciences",NA,"1996-7489","0038-2353","https://www.ajol.info/index.php/sajsci"
"Synthèse: Revue des Sciences et de la Technologie","Biology & Life Sciences","2352-9717",NA,NA,"https://www.ajol.info/index.php/srst"
"Synthèse: Revue des Sciences et de la Technologie","Biology & Life Sciences","2352-9717",NA,NA,"https://www.ajol.info/index.php/srst"
"Tunisian Journal of Plant Protection","Biology & Life Sciences",NA,"1737-5436",NA,"https://www.ajol.info/index.php/tjpp"
"Tunisian Journal of Plant Protection","Biology & Life Sciences",NA,"1737-5436",NA,"https://www.ajol.info/index.php/tjpp"
"Vulture News","Biology & Life Sciences","1606-7479",NA,NA,"https://www.ajol.info/index.php/vulnew"
"Vulture News","Biology & Life Sciences","1606-7479",NA,NA,"https://www.ajol.info/index.php/vulnew"
"West African Journal of Applied Ecology","Biology & Life Sciences","0855-4307","2661-9040","0855-4307","https://www.ajol.info/index.php/wajae"
"West African Journal of Applied Ecology","Biology & Life Sciences","0855-4307","2661-9040","0855-4307","https://www.ajol.info/index.php/wajae"
"West African Journal of Pharmacology and Drug Research","Biology & Life Sciences","0303-691X","0303-691X",NA,"https://www.ajol.info/index.php/wajpdr"
"West African Journal of Pharmacology and Drug Research","Biology & Life Sciences","0303-691X","0303-691X",NA,"https://www.ajol.info/index.php/wajpdr"
"Zoologist (The)","Biology & Life Sciences","1596-972X",NA,NA,"https://www.ajol.info/index.php/tzool"
"Zoologist (The)","Biology & Life Sciences","1596-972X",NA,NA,"https://www.ajol.info/index.php/tzool"
NA,"Chemistry, Mathematics & Physics",NA,NA,NA,"https://www.ajol.info/index.php/mjpps"
"African Journal of Chemical Education","Chemistry, Mathematics & Physics","2227-5835","2227-5835",NA,"https://www.ajol.info/index.php/ajce"
"African Journal of Chemical Education","Chemistry, Mathematics & Physics","2227-5835","2227-5835",NA,"https://www.ajol.info/index.php/ajce"
"African Journal of Educational Studies in Mathematics and Sciences","Chemistry, Mathematics & Physics","2508-1128","0855-501X","2508-1128","https://www.ajol.info/index.php/ajesms"
"African Journal of Educational Studies in Mathematics and Sciences","Chemistry, Mathematics & Physics","2508-1128","0855-501X","2508-1128","https://www.ajol.info/index.php/ajesms"
"Afrika Statistika","Chemistry, Mathematics & Physics","2316-090X","2316-090X",NA,"https://www.ajol.info/index.php/afst"
"Afrika Statistika","Chemistry, Mathematics & Physics","2316-090X","2316-090X",NA,"https://www.ajol.info/index.php/afst"
"Afrimedic Journal","Chemistry, Mathematics & Physics","2141-162X","2141-162X",NA,"https://www.ajol.info/index.php/afrij"
"Afrimedic Journal","Chemistry, Mathematics & Physics","2141-162X","2141-162X",NA,"https://www.ajol.info/index.php/afrij"
NA,"Chemistry, Mathematics & Physics",NA,NA,NA,"https://www.ajol.info/index.php/aljchemeng"
"Annals of Medical and Health Sciences Research","Chemistry, Mathematics & Physics","2141-9248","2141-9248",NA,"https://www.ajol.info/index.php/amhsr"
"Annals of Medical and Health Sciences Research","Chemistry, Mathematics & Physics","2141-9248","2141-9248",NA,"https://www.ajol.info/index.php/amhsr"
"Bayero Journal of Pure and Applied Sciences","Chemistry, Mathematics & Physics","2006-6996","2006-6996",NA,"https://www.ajol.info/index.php/bajopas"
"Bayero Journal of Pure and Applied Sciences","Chemistry, Mathematics & Physics","2006-6996","2006-6996",NA,"https://www.ajol.info/index.php/bajopas"
"Bulletin of the Chemical Society of Ethiopia","Chemistry, Mathematics & Physics","1726-801X","1011-3924","1726-801X","https://www.ajol.info/index.php/bcse"
"Bulletin of the Chemical Society of Ethiopia","Chemistry, Mathematics & Physics","1726-801X","1011-3924","1726-801X","https://www.ajol.info/index.php/bcse"
"Dutse Journal of Pure and Applied Sciences","Chemistry, Mathematics & Physics",NA,"2635-3490","2476-8316","https://www.ajol.info/index.php/dujopas"
"Dutse Journal of Pure and Applied Sciences","Chemistry, Mathematics & Physics",NA,"2635-3490","2476-8316","https://www.ajol.info/index.php/dujopas"
"East Africa Science","Chemistry, Mathematics & Physics",NA,"2664-0996","2664-1003","https://www.ajol.info/index.php/easci"
"East Africa Science","Chemistry, Mathematics & Physics",NA,"2664-0996","2664-1003","https://www.ajol.info/index.php/easci"
"East African Journal of Statistics","Chemistry, Mathematics & Physics","1811-7503","1811-7503",NA,"https://www.ajol.info/index.php/eajosta"
"East and Central African Journal of Surgery","Chemistry, Mathematics & Physics","2073-9990","2073-9990","1024-297X","https://www.ajol.info/index.php/ecajs"
"East and Central African Journal of Surgery","Chemistry, Mathematics & Physics","2073-9990","2073-9990","1024-297X","https://www.ajol.info/index.php/ecajs"
NA,"Chemistry, Mathematics & Physics",NA,NA,NA,"https://www.ajol.info/index.php/ejncs"
"Federal Polytechnic Ilaro Journal of Pure and Applied Sciences","Chemistry, Mathematics & Physics",NA,NA,NA,"https://www.ajol.info/index.php/fepijopas"
"FUOYE Journal of Engineering and Technology","Chemistry, Mathematics & Physics",NA,"2579-0625","2579-0617","https://www.ajol.info/index.php/fuoyejet"
"FUOYE Journal of Engineering and Technology","Chemistry, Mathematics & Physics",NA,"2579-0625","2579-0617","https://www.ajol.info/index.php/fuoyejet"
"Global Journal of Community Medicine","Chemistry, Mathematics & Physics","1597-9857",NA,NA,"https://www.ajol.info/index.php/gjcm"
"Global Journal of Community Medicine","Chemistry, Mathematics & Physics","1597-9857",NA,NA,"https://www.ajol.info/index.php/gjcm"
"Global Journal of Mathematical Sciences","Chemistry, Mathematics & Physics","1596-6208",NA,NA,"https://www.ajol.info/index.php/gjmas"
"Global Journal of Mathematical Sciences","Chemistry, Mathematics & Physics","1596-6208",NA,NA,"https://www.ajol.info/index.php/gjmas"
"IMTU Medical Journal","Chemistry, Mathematics & Physics","1821-7613",NA,NA,"https://www.ajol.info/index.php/imj"
"IMTU Medical Journal","Chemistry, Mathematics & Physics","1821-7613",NA,NA,"https://www.ajol.info/index.php/imj"
"International Journal of Biological and Chemical Sciences","Chemistry, Mathematics & Physics","1997-342X","1991-8631","1997-342X","https://www.ajol.info/index.php/ijbcs"
"International Journal of Biological and Chemical Sciences","Chemistry, Mathematics & Physics","1997-342X","1991-8631","1997-342X","https://www.ajol.info/index.php/ijbcs"
"International Journal of Energetica","Chemistry, Mathematics & Physics",NA,"2543-3717",NA,"https://www.ajol.info/index.php/ijeca"
"International Journal of Mathematical Sciences and Optimization: Theory and  Applications","Chemistry, Mathematics & Physics",NA,NA,NA,"https://www.ajol.info/index.php/ijmso"
"Investigational Medicinal Chemistry and Pharmacology","Chemistry, Mathematics & Physics",NA,"2617-0027","2617-0019","https://www.ajol.info/index.php/imcp"
"Journal of African Association of Physiological Sciences","Chemistry, Mathematics & Physics","2449-108X","2449-108X",NA,"https://www.ajol.info/index.php/jaaps"
"Journal of African Association of Physiological Sciences","Chemistry, Mathematics & Physics","2449-108X","2449-108X",NA,"https://www.ajol.info/index.php/jaaps"
"Journal of Applied Biosciences","Chemistry, Mathematics & Physics","1997-5902","1997-5902",NA,"https://www.ajol.info/index.php/jab"
"Journal of Applied Biosciences","Chemistry, Mathematics & Physics","1997-5902","1997-5902",NA,"https://www.ajol.info/index.php/jab"
"Journal of Applied Chemistry and Agricultural Research","Chemistry, Mathematics & Physics","1117-2894",NA,NA,"https://www.ajol.info/index.php/jacar"
"Journal of Applied Chemistry and Agricultural Research","Chemistry, Mathematics & Physics","1117-2894",NA,NA,"https://www.ajol.info/index.php/jacar"
"Journal of Medical and Biomedical Sciences","Chemistry, Mathematics & Physics","2026-6294","2026-6294","2735-9697","https://www.ajol.info/index.php/jmbs"
"Journal of Medical and Biomedical Sciences","Chemistry, Mathematics & Physics","2026-6294","2026-6294","2735-9697","https://www.ajol.info/index.php/jmbs"
"Journal of the Nigerian Association of Mathematical Physics","Chemistry, Mathematics & Physics","1116-4336",NA,NA,"https://www.ajol.info/index.php/jonamp"
"Journal of the Nigerian Association of Mathematical Physics","Chemistry, Mathematics & Physics","1116-4336",NA,NA,"https://www.ajol.info/index.php/jonamp"
"Mathematics Connection","Chemistry, Mathematics & Physics","0855-4706","0855-4706","2508-1136","https://www.ajol.info/index.php/mc"
"Mathematics Connection","Chemistry, Mathematics & Physics","0855-4706","0855-4706","2508-1136","https://www.ajol.info/index.php/mc"
"Momona Ethiopian Journal of Science","Chemistry, Mathematics & Physics","2220-184X","2220-184X","2073-073X","https://www.ajol.info/index.php/mejs"
"Momona Ethiopian Journal of Science","Chemistry, Mathematics & Physics","2220-184X","2220-184X","2073-073X","https://www.ajol.info/index.php/mejs"
"Nigeria Journal of Pure and Applied Physics","Chemistry, Mathematics & Physics","1596-0862",NA,NA,"https://www.ajol.info/index.php/njpap"
"Nigeria Journal of Pure and Applied Physics","Chemistry, Mathematics & Physics","1596-0862",NA,NA,"https://www.ajol.info/index.php/njpap"
"Nigerian Endocrine Practice","Chemistry, Mathematics & Physics","2251-0362","2251-0362",NA,"https://www.ajol.info/index.php/nep"
"Nigerian Endocrine Practice","Chemistry, Mathematics & Physics","2251-0362","2251-0362",NA,"https://www.ajol.info/index.php/nep"
"Nigerian Health Journal","Chemistry, Mathematics & Physics",NA,NA,NA,"https://www.ajol.info/index.php/nhj"
"Nigerian Health Journal","Chemistry, Mathematics & Physics",NA,NA,NA,"https://www.ajol.info/index.php/nhj"
"Nigerian Journal of Chemical Research","Chemistry, Mathematics & Physics","1119-0221",NA,NA,"https://www.ajol.info/index.php/njcr"
"Nigerian Journal of Chemical Research","Chemistry, Mathematics & Physics","1119-0221",NA,NA,"https://www.ajol.info/index.php/njcr"
"Nigerian Journal of Gastroenterology and Hepatology","Chemistry, Mathematics & Physics","2251-0079","2251-0079",NA,"https://www.ajol.info/index.php/njgh"
"Nigerian Journal of Gastroenterology and Hepatology","Chemistry, Mathematics & Physics","2251-0079","2251-0079",NA,"https://www.ajol.info/index.php/njgh"
"Nigerian Journal of Physics","Chemistry, Mathematics & Physics","1595-0611","1118-7638",NA,"https://www.ajol.info/index.php/njphy"
"Nigerian Journal of Physics","Chemistry, Mathematics & Physics","1595-0611","1118-7638",NA,"https://www.ajol.info/index.php/njphy"
"ORiON","Chemistry, Mathematics & Physics","2224-0004","2224-0004","0259-191X","https://www.ajol.info/index.php/orion"
"ORiON","Chemistry, Mathematics & Physics","2224-0004","2224-0004","0259-191X","https://www.ajol.info/index.php/orion"
"Quaestiones Mathematicae","Chemistry, Mathematics & Physics","1727-933X","1727-933X","1607-3606","https://www.ajol.info/index.php/qm"
"Quaestiones Mathematicae","Chemistry, Mathematics & Physics","1727-933X","1727-933X","1607-3606","https://www.ajol.info/index.php/qm"
"Revue de Médecine et de Pharmacie","Chemistry, Mathematics & Physics","2410-8936",NA,NA,"https://www.ajol.info/index.php/rmp"
"Revue de Médecine et de Pharmacie","Chemistry, Mathematics & Physics","2410-8936",NA,NA,"https://www.ajol.info/index.php/rmp"
"Rwanda Journal of Health Sciences","Chemistry, Mathematics & Physics","2226-728X","2306-8876","2226-728X","https://www.ajol.info/index.php/rjhs"
"Rwanda Journal of Health Sciences","Chemistry, Mathematics & Physics","2226-728X","2306-8876","2226-728X","https://www.ajol.info/index.php/rjhs"
"Savannah Journal of Medical Research and Practice","Chemistry, Mathematics & Physics","2276-6839","2276-6839",NA,"https://www.ajol.info/index.php/sjmrp"
"Savannah Journal of Medical Research and Practice","Chemistry, Mathematics & Physics","2276-6839","2276-6839",NA,"https://www.ajol.info/index.php/sjmrp"
"Science et Technique, Sciences de la Santé","Chemistry, Mathematics & Physics","1011-6028",NA,NA,"https://www.ajol.info/index.php/stss"
"Science et Technique, Sciences de la Santé","Chemistry, Mathematics & Physics","1011-6028",NA,NA,"https://www.ajol.info/index.php/stss"
"Science World Journal","Chemistry, Mathematics & Physics","1597-6343","2756-391X","1597-6343","https://www.ajol.info/index.php/swj"
"South African Journal of Geomatics","Chemistry, Mathematics & Physics","2225-8531","2225-8531",NA,"https://www.ajol.info/index.php/sajg"
"South African Journal of Geomatics","Chemistry, Mathematics & Physics","2225-8531","2225-8531",NA,"https://www.ajol.info/index.php/sajg"
"Tanzania Journal of Engineering and Technology","Chemistry, Mathematics & Physics",NA,"1821-536X",NA,"https://www.ajol.info/index.php/tjet"
"Technologies Avancées","Chemistry, Mathematics & Physics","1111-0902",NA,NA,"https://www.ajol.info/index.php/ta"
"Technologies Avancées","Chemistry, Mathematics & Physics","1111-0902",NA,NA,"https://www.ajol.info/index.php/ta"
"West African Journal of Industrial and Academic Research","Chemistry, Mathematics & Physics","1116-5405","2276-9129",NA,"https://www.ajol.info/index.php/wajiar"
"West African Journal of Industrial and Academic Research","Chemistry, Mathematics & Physics","1116-5405","2276-9129",NA,"https://www.ajol.info/index.php/wajiar"
"ATBU Journal of Environmental Technology","Earth Sciences","1596-6305",NA,NA,"https://www.ajol.info/index.php/atbu"
"ATBU Journal of Environmental Technology","Earth Sciences","1596-6305",NA,NA,"https://www.ajol.info/index.php/atbu"
"Ghana Journal of Geography","Earth Sciences","2821-8892","2821-8892",NA,"https://www.ajol.info/index.php/gjg"
"Ghana Journal of Geography","Earth Sciences","2821-8892","2821-8892",NA,"https://www.ajol.info/index.php/gjg"
"Global Journal of Geological Sciences","Earth Sciences","1596-6798",NA,NA,"https://www.ajol.info/index.php/gjgs"
"Global Journal of Geological Sciences","Earth Sciences","1596-6798",NA,NA,"https://www.ajol.info/index.php/gjgs"
"Journal of Meteorology and Climate Science","Earth Sciences","2006-7003","2006-7003",NA,"https://www.ajol.info/index.php/jmcs"
"Journal of Meteorology and Climate Science","Earth Sciences","2006-7003","2006-7003",NA,"https://www.ajol.info/index.php/jmcs"
"Journal of Mining and Geology","Earth Sciences","1116-2775",NA,NA,"https://www.ajol.info/index.php/jmg"
"Journal of Mining and Geology","Earth Sciences","1116-2775",NA,NA,"https://www.ajol.info/index.php/jmg"
"Madagascar Conservation & Development","Earth Sciences","1662-2510","1662-2510",NA,"https://www.ajol.info/index.php/mcd"
"Madagascar Conservation & Development","Earth Sciences","1662-2510","1662-2510",NA,"https://www.ajol.info/index.php/mcd"
"South African Journal of Geomatics","Earth Sciences","2225-8531","2225-8531",NA,"https://www.ajol.info/index.php/sajg"
"South African Journal of Geomatics","Earth Sciences","2225-8531","2225-8531",NA,"https://www.ajol.info/index.php/sajg"
"South African Journal of Plant and Soil","Earth Sciences","2167-034X","2167-034X","0257-1862","https://www.ajol.info/index.php/sajps"
"South African Journal of Plant and Soil","Earth Sciences","2167-034X","2167-034X","0257-1862","https://www.ajol.info/index.php/sajps"
"Acta Structilia","Economics & Development","2415-0487","2415-0487","1023-0564","https://www.ajol.info/index.php/actas"
"Acta Structilia","Economics & Development","2415-0487","2415-0487","1023-0564","https://www.ajol.info/index.php/actas"
"Africa Development","Economics & Development","0850-3907","2521-9863","0850-3907","https://www.ajol.info/index.php/ad"
"Africa Development","Economics & Development","0850-3907","2521-9863","0850-3907","https://www.ajol.info/index.php/ad"
"Africa Insight","Economics & Development","1995-641X","1995-641X","0256-2804","https://www.ajol.info/index.php/ai"
"Africa Insight","Economics & Development","1995-641X","1995-641X","0256-2804","https://www.ajol.info/index.php/ai"
"African Journal of Accounting and Social Science Studies","Economics & Development",NA,"2591-6815",NA,"https://www.ajol.info/index.php/ajasss"
"African Journal of Economic Policy","Economics & Development","1116-4875","1607-2820",NA,"https://www.ajol.info/index.php/ajep"
"African Journal of Economic Policy","Economics & Development","1116-4875","1607-2820",NA,"https://www.ajol.info/index.php/ajep"
"African Journal of Economic Review","Economics & Development","2453-5966","2453-5958",NA,"https://www.ajol.info/index.php/ajer"
"African Journal of Economic Review","Economics & Development","2453-5966","2453-5958",NA,"https://www.ajol.info/index.php/ajer"
"African Journal of Governance and Development","Economics & Development","2218-5615","2616-9045","2218-5615","https://www.ajol.info/index.php/ajgd"
"African Journal of Governance and Development","Economics & Development","2218-5615","2616-9045","2218-5615","https://www.ajol.info/index.php/ajgd"
"African Journal of Management Research","Economics & Development","2458-7435","2458-7435","2343-6689","https://www.ajol.info/index.php/ajmr"
"African Journal of Management Research","Economics & Development","2458-7435","2458-7435","2343-6689","https://www.ajol.info/index.php/ajmr"
"African Journal of Social Issues","Economics & Development",NA,"2734-3324","2672-5142","https://www.ajol.info/index.php/ajosi"
"African Journal of Social Issues","Economics & Development",NA,"2734-3324","2672-5142","https://www.ajol.info/index.php/ajosi"
"African Journal of Sustainable Development","Economics & Development","2315-6317","2971-5253","2315-6317","https://www.ajol.info/index.php/ajsd"
"African Journal of Sustainable Development","Economics & Development","2315-6317","2971-5253","2315-6317","https://www.ajol.info/index.php/ajsd"
"African Journal on Conflict Resolution","Economics & Development","1562-6997","1562-6997","2309-737X","https://www.ajol.info/index.php/ajcr"
"African Journal on Conflict Resolution","Economics & Development","1562-6997","1562-6997","2309-737X","https://www.ajol.info/index.php/ajcr"
"African Review of Economics and Finance","Economics & Development","2042-1478","2410-4906","2042-1478","https://www.ajol.info/index.php/aref"
"African Review of Economics and Finance","Economics & Development","2042-1478","2410-4906","2042-1478","https://www.ajol.info/index.php/aref"
NA,"Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/ageers"
NA,"Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/altrur"
"Annals of Humanities and Development Studies","Economics & Development","2141-4343",NA,NA,"https://www.ajol.info/index.php/ahds"
"Annals of Humanities and Development Studies","Economics & Development","2141-4343",NA,NA,"https://www.ajol.info/index.php/ahds"
"BNR Economic Review","Economics & Development",NA,"2706-8587",NA,"https://www.ajol.info/index.php/BNRER"
"Botswana Journal of Economics","Economics & Development","1810-0163","2948-0248","1810-0163","https://www.ajol.info/index.php/boje"
"Botswana Journal of Economics","Economics & Development","1810-0163","2948-0248","1810-0163","https://www.ajol.info/index.php/boje"
NA,"Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/bej"
"Cradle of Knowledge: African Journal of Educational and Social Science Research (The)","Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/ajessr"
"Cradle of Knowledge: African Journal of Educational and Social Science Research (The)","Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/ajessr"
"Democracy & Development: Journal of West African Affairs","Economics & Development","1465-0142",NA,NA,"https://www.ajol.info/index.php/dad"
"Democracy & Development: Journal of West African Affairs","Economics & Development","1465-0142",NA,NA,"https://www.ajol.info/index.php/dad"
"East African Health Research Journal","Economics & Development",NA,"2520-5285","2520-5277","https://www.ajol.info/index.php/eahrj"
"East African Health Research Journal","Economics & Development",NA,"2520-5285","2520-5277","https://www.ajol.info/index.php/eahrj"
"East African Journal of Peace and Human Rights","Economics & Development","1021-8858","1021-8858",NA,"https://www.ajol.info/index.php/eajphr"
"Eastern Africa Journal of Rural Development","Economics & Development","0377-7103","0377-7103",NA,"https://www.ajol.info/index.php/eajrd"
"Eastern Africa Journal of Rural Development","Economics & Development","0377-7103","0377-7103",NA,"https://www.ajol.info/index.php/eajrd"
"Economic and Policy Review","Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/epr"
"Economic and Policy Review","Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/epr"
"Ethiopian Journal of Business and Economics (The)","Economics & Development","2410-2393","2311-9772",NA,"https://www.ajol.info/index.php/ejbe"
"Ethiopian Journal of Business and Economics (The)","Economics & Development","2410-2393","2311-9772",NA,"https://www.ajol.info/index.php/ejbe"
"Ethiopian Journal of Development Research","Economics & Development","0378-0813","0378-0813",NA,"https://www.ajol.info/index.php/ejdr"
"Ethiopian Journal of Development Research","Economics & Development","0378-0813","0378-0813",NA,"https://www.ajol.info/index.php/ejdr"
"Ethiopian Journal of Economics","Economics & Development","1993-3681","2957-7489","1993-3681","https://www.ajol.info/index.php/eje"
"Ethiopian Journal of Economics","Economics & Development","1993-3681","2957-7489","1993-3681","https://www.ajol.info/index.php/eje"
"Ethiopian Journal of Science and Sustainable Development","Economics & Development",NA,"2663-3205","1998-0531","https://www.ajol.info/index.php/ejssd"
"FUTY Journal of the Environment","Economics & Development","1597-8826","1597-8826",NA,"https://www.ajol.info/index.php/fje"
"FUTY Journal of the Environment","Economics & Development","1597-8826","1597-8826",NA,"https://www.ajol.info/index.php/fje"
"Ghana Journal of Development Studies","Economics & Development","0855-6768",NA,NA,"https://www.ajol.info/index.php/gjds"
"Ghana Journal of Development Studies","Economics & Development","0855-6768",NA,NA,"https://www.ajol.info/index.php/gjds"
"Ghana Journal of Science, Technology and Development","Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/gjstd"
NA,"Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/hajbe"
"International Journal of Development and Management Review","Economics & Development","2734-3316","2734-3316","2659-112X","https://www.ajol.info/index.php/ijdmr"
"International Journal of Development and Management Review","Economics & Development","2734-3316","2734-3316","2659-112X","https://www.ajol.info/index.php/ijdmr"
"International Journal of Development and Policy Studies","Economics & Development","0795-0632",NA,NA,"https://www.ajol.info/index.php/qijdps"
"International Journal of Development and Policy Studies","Economics & Development","0795-0632",NA,NA,"https://www.ajol.info/index.php/qijdps"
"Journal of Academic Finance","Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/jaf"
"Journal of Academic Finance","Economics & Development",NA,NA,NA,"https://www.ajol.info/index.php/jaf"
"Journal of Agricultural Extension","Economics & Development","2408-6851","2408-6851","1119-944X","https://www.ajol.info/index.php/jae"
"Journal of Agricultural Extension","Economics & Development","2408-6851","2408-6851","1119-944X","https://www.ajol.info/index.php/jae"
"Journal of Banking","Economics & Development",NA,"2736-1772","1597-2569","https://www.ajol.info/index.php/jb"
