"issn_from_ajol","issn_from_issn_portal","issn_from_issn_portal2","source","country","open_access","stars","last_issue","source_url"
NA,NA,NA,"Ethiopian Renaissance Journal of Social Sciences and Humanities","Ethiopia",TRUE,"missing",NA,"https://www.ajol.info/index.php/erjssh"
"2221-5034","1683-6324","2221-5034","Ethiopian Veterinary Journal","Ethiopia",TRUE,"missing",2022,"https://www.ajol.info/index.php/evj"
NA,NA,NA,"Evidence-Based Nursing Research","Egypt, Arab Rep.",TRUE,"missing",NA,"https://www.ajol.info/index.php/ebnr"
NA,NA,NA,"Federal Polytechnic Ilaro Journal of Pure and Applied Sciences","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/fepijopas"
"2408-5987",NA,NA,"Filosofia Theoretica: Journal of African Philosophy, Culture and Religions","Nigeria",FALSE,"missing",2023,"https://www.ajol.info/index.php/ft"
NA,"2579-0625","2579-0617","FUOYE Journal of Engineering and Technology","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/fuoyejet"
NA,NA,NA,"FUNAI Journal of Science and Technology","Nigeria",FALSE,"missing",NA,"https://www.ajol.info/index.php/funaijost"
"1597-8826","1597-8826",NA,"FUTY Journal of the Environment","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/fje"
"1596-9231","1596-9231",NA,"Gender and Behaviour","Nigeria",FALSE,"missing",2023,"https://www.ajol.info/index.php/gab"
NA,"0855-5311","2408-7823","Ghana Dental Journal ","Ghana",NA,NA,NA,"https://www.ajol.info/index.php/gdj"
"0855-0042",NA,NA,"Ghana Journal of Agricultural Science","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/gjas"
NA,"0855-7349",NA,"Ghanaian Journal of Animal Science","Ghana",TRUE,"missing",NA,"https://www.ajol.info/index.php/gjansci"
"0855-6768",NA,NA,"Ghana Journal of Development Studies","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/gjds"
"0855-1707","0855-1707",NA,"Ghana Journal of Forestry","Ghana",FALSE,"missing",2012,"https://www.ajol.info/index.php/gjf"
"2821-8892","2821-8892",NA,"Ghana Journal of Geography","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/gjg"
"2026-6596",NA,NA,"Ghana Journal of Linguistics","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/gjl"
NA,NA,NA,"Ghana Journal of Religion and Theology","Ghana",TRUE,"missing",NA,"https://www.ajol.info/index.php/gjrt"
"0855-1448",NA,NA,"Ghana Journal of Science","Ghana",TRUE,"missing",NA,"https://www.ajol.info/index.php/gjs"
NA,NA,NA,"Ghana Journal of Science, Technology and Development","Ghana",TRUE,"missing",NA,"https://www.ajol.info/index.php/gjstd"
"0855-3033","0016-9552","0855-3033","Ghana Library Journal","Ghana",FALSE,"missing",2022,"https://www.ajol.info/index.php/glj"
"0016-9560","0016-9560","2616-163X","Ghana Medical Journal","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/gmj"
"0855-210X","2616-1478","0855-210X","Ghana Mining Journal","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/gm"
"0794-1005",NA,NA,"Global Approaches to Extension Practice: A Journal of Agricultural Extension","Nigeria",FALSE,"missing",2015,"https://www.ajol.info/index.php/gaep"
"1596-2903",NA,NA,"Global Journal of Agricultural Sciences","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/gjass"
"1597-9857",NA,NA,"Global Journal of Community Medicine","Nigeria",TRUE,"missing",2009,"https://www.ajol.info/index.php/gjcm"
"1596-6224","2313-3856",NA,"Global Journal of Educational Research","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/gjedr"
"1596-292X",NA,NA,"Global Journal of Engineering Research","Nigeria",TRUE,"missing",2017,"https://www.ajol.info/index.php/gjer"
"1596-6194",NA,NA,"Global Journal of Environmental Sciences","Nigeria",TRUE,"missing",2015,"https://www.ajol.info/index.php/gjes"
"1596-6798",NA,NA,"Global Journal of Geological Sciences","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/gjgs"
"1596-6232","1596-6232",NA,"Global Journal of Humanities","Nigeria",TRUE,"missing",2012,"https://www.ajol.info/index.php/gjh"
"1596-6208",NA,NA,"Global Journal of Mathematical Sciences","Nigeria",TRUE,"missing",2015,"https://www.ajol.info/index.php/gjmas"
"1596-2911",NA,NA,"Global Journal of Medical Sciences","Nigeria",TRUE,"missing",2012,"https://www.ajol.info/index.php/gjms"
"1118-0579",NA,NA,"Global Journal of Pure and Applied Sciences","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/gjpas"
"1596-6216",NA,NA,"Global Journal of Social Sciences","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/gjss"
NA,NA,NA,"HAFED POLY Journal of Science, Management and Technology","Nigeria",FALSE,"missing",NA,"https://www.ajol.info/index.php/hpjsmt"
NA,"2789-9845","2789-9837","Haki Journal of Human Rights","Kenya",TRUE,"missing",NA,"https://www.ajol.info/index.php/hjhr"
"2305-3739","2305-3739","2227-2178","Haramaya Law Review","Ethiopia",TRUE,"missing",2022,"https://www.ajol.info/index.php/hlr"
"2071-9736","2071-9736","1025-9848","Health SA Gesondheid","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/hsa"
NA,"2720-7609","2704-4890","Health Sciences Investigations Journal","Ghana",TRUE,"missing",NA,"https://www.ajol.info/index.php/hsij"
"1596-2407","1596-2407",NA,"Highland Medical Research Journal","Nigeria",FALSE,"missing",2023,"https://www.ajol.info/index.php/hmrj"
"2072-8050",NA,NA,"HTS Teologiese Studies / Theological Studies","South Africa",TRUE,"missing",NA,"https://www.ajol.info/index.php/hts"
"1596-0749",NA,NA,"Humanities Review Journal","Nigeria",FALSE,"missing",2011,"https://www.ajol.info/index.php/hrj"
"0856-6739","0856-6739",NA,"Huria: Journal of the Open University of Tanzania","Tanzania",TRUE,"missing",NA,"https://www.ajol.info/index.php/huria"
NA,"2707-2169","2707-2150","Hybrid Journal of Literary and Cultural Studies","Kenya",FALSE,"missing",NA,"https://www.ajol.info/index.php/hjlcs"
"2141-9744","0189-2622","2141-9744","Ibadan Journal of Humanistic Studies","Nigeria",FALSE,"missing",2021,"https://www.ajol.info/index.php/ibjhs"
"0794-4896","2504-897X",NA,"Ife Journal of Science","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/ijs"
"1117-1421",NA,NA,"IFE PsychologIA","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/ifep"
"2141-7040","2141-7040",NA,"Ilorin Journal of Religious Studies","Nigeria",TRUE,"missing",2021,"https://www.ajol.info/index.php/ijrs"
"1821-7613",NA,NA,"IMTU Medical Journal","Tanzania",FALSE,"missing",2017,"https://www.ajol.info/index.php/imj"
"1683-0296","1683-0296",NA,"Indilinga: African Journal of Indigenous Knowledge Systems","South Africa",FALSE,"missing",2020,"https://www.ajol.info/index.php/indilinga"
"1445-7377","2079-7222",NA,"Indo-Pacific Journal of Phenomenology","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/ipjp"
"2360-994X",NA,NA,"Information Impact: Journal of Information and Knowledge Management","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/iijikm"
"1596-5422",NA,NA,"Information Manager (The)","Nigeria",TRUE,"missing",2016,"https://www.ajol.info/index.php/tim"
"2805-3478","2805-3478",NA,"Information Technologist (The)","Nigeria",FALSE,"missing",2023,"https://www.ajol.info/index.php/ict"
"2077-8317",NA,NA,"Inkanyiso: Journal of Humanities and Social Sciences","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/ijhss"
"1025-8892","2325-2766","1977-7566","Innovation","South Africa",FALSE,"missing",2013,"https://www.ajol.info/index.php/innovation"
NA,NA,NA,"International Journal of African Higher Education ","South Africa",NA,NA,NA,"https://www.ajol.info/index.php/ijahe"
"1595-9716",NA,NA,"International Journal of Agriculture and Rural Development","Nigeria",FALSE,"missing",2012,"https://www.ajol.info/index.php/ijard"
"0331-5428",NA,NA,"International Journal of Applied Agriculture and Apiculture Research","Nigeria",TRUE,"missing",2016,"https://www.ajol.info/index.php/ijaaar"
"2384-681X",NA,NA,"International Journal of Basic, Applied and Innovative Research","Nigeria",TRUE,"missing",2019,"https://www.ajol.info/index.php/ijbair"
"1997-342X","1991-8631","1997-342X","International Journal of Biological and Chemical Sciences","Cameroon",TRUE,"missing",2022,"https://www.ajol.info/index.php/ijbcs"
"2384-6828","2384-6828","2315-6562","International Journal of Community Research","Nigeria",TRUE,"missing",2016,"https://www.ajol.info/index.php/ijcr"
NA,NA,NA,"International Journal of Current Research in the Humanities","Ghana",TRUE,"missing",NA,"https://www.ajol.info/index.php/ijcrh"
"2734-3316","2734-3316","2659-112X","International Journal of Development and Management Review","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/ijdmr"
"0795-0632",NA,NA,"International Journal of Development and Policy Studies","Nigeria",FALSE,"missing",2008,"https://www.ajol.info/index.php/qijdps"
"1595-8485",NA,NA,"International Journal of Educational Research","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/ijer"
"1119-7048",NA,NA,"International Journal of Emotional Psychology and Sport Ethics","South Africa",FALSE,"missing",2008,"https://www.ajol.info/index.php/ijepse"
NA,"2543-3717",NA,"International Journal of Energetica","Algeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/ijeca"
"2141-2839",NA,NA,"International Journal of Engineering, Science and Technology","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/ijest"
"1596-9819",NA,NA,"International Journal of Health Research","Nigeria",TRUE,"missing",2013,"https://www.ajol.info/index.php/ijhr"
"2384-6836","2315-537X",NA,"International Journal of Herbs and Pharmacological Research","Nigeria",TRUE,"missing",2016,"https://www.ajol.info/index.php/ijhpr"
NA,NA,NA,"International Journal of Information Security, Privacy and Digital Forensics","Nigeria",FALSE,"missing",NA,"https://www.ajol.info/index.php/ijispdf"
"1596-3381",NA,NA,"International Journal of Malaria and Tropical Diseases (IJMTD)","Nigeria",FALSE,"missing",2007,"https://www.ajol.info/index.php/ijmtd"
NA,NA,NA,"International Journal of Mathematical Sciences and Optimization: Theory and  Applications","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/ijmso"
"2315-5019",NA,NA,"International Journal of Medicine and Biomedical Research","Nigeria",TRUE,"missing",2017,"https://www.ajol.info/index.php/ijmbr"
"1118-2601","2635-3695",NA,"International Journal of Medicine and Health Development","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/jcm"
"1737-8176","1737-8176","1737-7374","International Journal of Modern Anthropology","Tunisia",TRUE,"missing",2022,"https://www.ajol.info/index.php/ijma"
"0794-4713",NA,NA,"International Journal of Natural and Applied Sciences","Nigeria",FALSE,"missing",2013,"https://www.ajol.info/index.php/ijonas"
"2026-6081",NA,NA,"International Journal of Pedagogy, Policy and ICT in Education","Ghana",FALSE,"missing",2023,"https://www.ajol.info/index.php/ijp"
"1597-913X",NA,NA,"International Journal of Tropical Agriculture and Food Systems","Nigeria",FALSE,"missing",2013,"https://www.ajol.info/index.php/ijotafs"
"1694-0423",NA,NA,"Internet Journal of Medical Update - EJOURNAL","Mauritius",TRUE,"missing",2021,"https://www.ajol.info/index.php/ijmu"
NA,"2617-0027","2617-0019","Investigational Medicinal Chemistry and Pharmacology","Cameroon",TRUE,"missing",NA,"https://www.ajol.info/index.php/imcp"
"2225-7039",NA,NA,"Italian Studies in Southern Africa/Studi d'Italianistica nell'Africa Australe","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/issa"
NA,"2591-7013",NA,"Jarida la Chama cha Lugha na Fasihi ya Kiswahili Tanzania (CHALUFAKITA)","Tanzania",TRUE,"missing",NA,"https://www.ajol.info/index.php/jclfkt"
"1019-7788","1019-7788",NA,"JASSA: Journal of Applied Science in Southern Africa","Zimbabwe",FALSE,"missing",2010,"https://www.ajol.info/index.php/jassa"
"2006-0734","2006-0734",NA,"Jos Journal of Medicine","Nigeria",TRUE,"missing",2021,"https://www.ajol.info/index.php/jjm"
NA,NA,NA,"Journal de la Faculté de Médecine d’Oran","Algeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/jfmo"
"2413-354X",NA,NA,"Journal de la Recherche Scientifique de l’Université de Lomé","Togo",FALSE,"missing",NA,"https://www.ajol.info/index.php/jrsul"
"0851-4453",NA,NA,"Journal des Sciences Pour l'Ingénieur","Senegal",FALSE,"missing",2011,"https://www.ajol.info/index.php/jspi"
"0257-7062","2957-9163","0257-7062","Journal for Islamic Studies","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/jis"
"0258-252X",NA,NA,"Journal for Juridical Science","South Africa",FALSE,"missing",2011,"https://www.ajol.info/index.php/jjs"
"0259-9570","2958-9320",NA,"Journal for Language Teaching","South Africa",TRUE,"missing",2023,"https://www.ajol.info/index.php/jlt"
"1011-7601","1011-7601","2413-3027","Journal for the Study of Religion","South Africa",FALSE,"missing",2022,"https://www.ajol.info/index.php/jsr"
NA,NA,NA,"Journal of Academic Finance","Tunisia",TRUE,"missing",NA,"https://www.ajol.info/index.php/jaf"
"2449-108X","2449-108X",NA,"Journal of African Association of Physiological Sciences","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/jaaps"
NA,"2695-236X",NA,"Journal of Agriculture and Environment","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/jagrenv"
"2408-6851","2408-6851","1119-944X","Journal of Agricultural Extension","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/jae"
"1596-5511",NA,NA,"Journal of Agricultural Research and Development","Nigeria",FALSE,"missing",2021,"https://www.ajol.info/index.php/jard"
"1597-1074",NA,NA,"Journal of Agriculture and Food Sciences","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/jafs"
"1595-7470","1595-7470",NA,"Journal of Agriculture and Social Research (JASR)","Nigeria",TRUE,"missing",2018,"https://www.ajol.info/index.php/jasr"
"1597-0906",NA,NA,"Journal of Agriculture, Forestry and the Social Sciences","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/joafss"
"1561-7645",NA,NA,"Journal of Agriculture, Science and Technology","Kenya",TRUE,"missing",2022,"https://www.ajol.info/index.php/jagst"
"1997-5902","1997-5902",NA,"Journal of Applied Biosciences","Kenya",TRUE,"missing",2023,"https://www.ajol.info/index.php/jab"
"1117-2894",NA,NA,"Journal of Applied Chemistry and Agricultural Research","Nigeria",FALSE,"missing",2008,"https://www.ajol.info/index.php/jacar"
"0855-2215",NA,NA,"Journal of Applied Science and Technology","Ghana",FALSE,"missing",2020,"https://www.ajol.info/index.php/jast"
"1596-3233",NA,NA,"Journal of Applied Science, Engineering and Technology","Nigeria",FALSE,"missing",2021,"https://www.ajol.info/index.php/jaset"
"2659-1502",NA,NA,"Journal of Applied Sciences and Environmental Management","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/jasem"
"0189-8779","1115-2788","1018-3469","Journal of Aquatic Sciences","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/jas"
NA,"2736-1772","1597-2569","Journal of Banking","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/jb"
"2320-2041",NA,NA,"Journal of Basic and Clinical Reproductive Sciences","Nigeria",TRUE,"missing",2017,"https://www.ajol.info/index.php/jbcrs"
"1597-0043",NA,NA,"Journal of Biomedical Investigation","Nigeria",FALSE,"missing",2011,"https://www.ajol.info/index.php/jbi"
"0856-0501","0856-0501","2507-7716","Journal of Building and Land Development","Tanzania",FALSE,"missing",2020,"https://www.ajol.info/index.php/jbld"
"2077-3420","2077-3420","2958-3810","Journal of Business and Administrative Studies","Ethiopia",TRUE,"missing",2018,"https://www.ajol.info/index.php/jbas"
"0148-2963",NA,NA,"Journal of Business Research","Ghana",FALSE,"missing",2017,"https://www.ajol.info/index.php/jbr"
"1728-0591","1728-0583","1728-0591","Journal of Child and Adolescent Mental Health","South Africa",FALSE,"missing",2021,"https://www.ajol.info/index.php/jcamh"
"1729-5769",NA,NA,"Journal of Civil Engineering Research and Practice","Kenya",FALSE,"missing",2011,"https://www.ajol.info/index.php/jcerp"
"1562-6121",NA,NA,"Journal of Civil Engineering, JKUAT","Kenya",FALSE,"missing",2003,"https://www.ajol.info/index.php/jce"
"0794-7410",NA,NA,"Journal of Community Medicine and Primary Health Care","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/jcmphc"
"2006-5523","2006-5523",NA,"Journal of Computer Science and Its Application","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/jcsia"
"0378-5254",NA,NA,"Journal of Consumer Sciences","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/jfecs"
"1595-0956","2141-8020",NA,"Journal of Cultural Studies","Nigeria",FALSE,"missing",2014,"https://www.ajol.info/index.php/jcs"
"2305-7432","2305-7432",NA,"Journal of Development and Communication Studies","Malawi",TRUE,"missing",2021,"https://www.ajol.info/index.php/jdcs"
NA,"2635-3326","2141-8209","Journal of Dietitians Association of Nigeria","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/jdan"
"1026-1613","1026-1613","2224-8862","Journal of East African Natural History","Kenya",FALSE,"missing",2022,"https://www.ajol.info/index.php/jeanh"
"1119-9210",NA,NA,"Journal of Educational Foundations","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/jef"
"2220-1009",NA,NA,"Journal of Endocrinology, Metabolism and Diabetes of South Africa","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/jemdsa"
"1595-5125","2814-3272",NA,"Journal of Environmental Extension","Nigeria",FALSE,"missing",2016,"https://www.ajol.info/index.php/jext"
NA,"2523-1901",NA,"Journal of Equity in Sciences and Sustainable Development","Ethiopia",TRUE,"missing",NA,"https://www.ajol.info/index.php/jessd"
"1560-1560","1562-0085","1810-6870","Journal of Ethiopian Medical Practice","Ethiopia",FALSE,"missing",2009,"https://www.ajol.info/index.php/jemp"
"1596-2393",NA,NA,"Journal of Experimental and Clinical Anatomy","Nigeria",FALSE,"missing",2016,"https://www.ajol.info/index.php/jeca"
NA,"2664-5513","2663-1741","Journal of Food Stability","Cameroon",TRUE,"missing",NA,"https://www.ajol.info/index.php/jfs"
"1028-6098","1028-6098","2661-9016","Journal of Food Technology in Africa","Kenya",TRUE,"missing",2009,"https://www.ajol.info/index.php/jfta"
"1112-9867",NA,NA,"Journal of Fundamental and Applied Sciences","Algeria",TRUE,"missing",2018,"https://www.ajol.info/index.php/jfas"
NA,NA,NA,"Journal of Health, Applied Sciences and Management","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/johasam"
NA,NA,NA,"Journal of Health and Visual Sciences","Nigeria",FALSE,"missing",2016,"https://www.ajol.info/index.php/jhvs"
"1597-3778","1597-3778","2736-0660","Journal of History and Diplomatic Studies","Nigeria",FALSE,"missing",2015,"https://www.ajol.info/index.php/jhds"
"1016-0728","1016-0728","2948-0094","Journal of Humanities","Malawi",TRUE,"missing",2023,"https://www.ajol.info/index.php/jh"
NA,"2664-2824",NA,"Journal of Interventional Epidemiology and Public Health","Uganda",TRUE,"missing",NA,"https://www.ajol.info/index.php/jieph"
"1998-1279",NA,NA,"Journal of Language, Technology & Entrepreneurship in Africa","Kenya",TRUE,"missing",2022,"https://www.ajol.info/index.php/jolte"
"1595-8922",NA,NA,"Journal of Librarianship and Information Science in Africa","Nigeria",FALSE,"missing",2001,"https://www.ajol.info/index.php/jlisa"
"2026-6294","2026-6294","2735-9697","Journal of Medical and Biomedical Sciences","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/jmbs"
"2787-0170","2787-0170","2787-0162","Journal of Medical Investigation and Practice","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/jomip"
"1116-1043",NA,NA,"Journal of Medical Laboratory Science","Nigeria",FALSE,"missing",2015,"https://www.ajol.info/index.php/jmls"
"1596-6941",NA,NA,"Journal of Medicine and Biomedical Research","Nigeria",TRUE,"missing",2021,"https://www.ajol.info/index.php/jmbr"
"1119-3999","1119-3999",NA,"Journal of Medicine and Medical Sciences","Nigeria",FALSE,"missing",1999,"https://www.ajol.info/index.php/jmms"
"2276-7096","2468-8185","2276-7096","Journal of Medicine in the Tropics","Nigeria",FALSE,"missing",2014,"https://www.ajol.info/index.php/jmt"
"2006-7003","2006-7003",NA,"Journal of Meteorology and Climate Science","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/jmcs"
"1116-2775",NA,NA,"Journal of Mining and Geology","Nigeria",FALSE,"missing",2009,"https://www.ajol.info/index.php/jmg"
"1596-3497",NA,NA,"Journal of Modeling, Design and Management of Engineering Systems","Nigeria",FALSE,"missing",2010,"https://www.ajol.info/index.php/jmdmes"
"1012-8867","1012-8867",NA,"Journal of Obstetrics and Gynaecology of Eastern and Central Africa","Kenya",FALSE,"missing",2017,"https://www.ajol.info/index.php/jogeca"
"1596-8499","1596-8499",NA,"Journal of Pharmaceutical and Allied Sciences","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/jophas"
"0189-8442",NA,NA,"Journal of Pharmacy & Bioresources","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/jpb"
"0855-6660",NA,NA,"Journal of Philosophy and Culture","Ghana",TRUE,"missing",2016,"https://www.ajol.info/index.php/jpc"
"1118-1028",NA,NA,"Journal of Phytomedicine and Therapeutics","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/jopat"
NA,NA,NA,"Journal of Policy and Development Studies ","Nigeria",NA,NA,NA,"https://www.ajol.info/index.php/jpds"
"1433-0237","1815-5626","1433-0237","Journal of Psychology in Africa","South Africa",FALSE,"missing",2006,"https://www.ajol.info/index.php/jpa"
NA,"2736-1071","2736-1063","Journal of Radiography and Radiation Sciences","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/jrrs"
"2006-5442",NA,NA,"UNIZIK Journal of Religion and Human Relations","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/jrhr"
"2141-1778",NA,NA,"Journal of Research in Forestry, Wildlife and Environment","Nigeria",TRUE,"missing",2023,"https://www.ajol.info/index.php/jrfwe"
"1596-8308",NA,NA,"Journal of Research in National Development","Nigeria",FALSE,"missing",2017,"https://www.ajol.info/index.php/jorind"
"2070-1748","2304-2702","2414-4479","Journal of Science and Sustainable Development","Uganda",TRUE,"missing",2022,"https://www.ajol.info/index.php/jssd"
"0855-0395","2026-5646",NA,"Journal of Science and Technology (Ghana)","Ghana",TRUE,"missing",2023,"https://www.ajol.info/index.php/just"
"1027-4928",NA,NA,"Journal of Science and Technology (Zambia)","Zambia",FALSE,"missing",2006,"https://www.ajol.info/index.php/jost"
"1726-3700","1726-3700","1012-1080","Journal of Social Development in Africa","Zimbabwe",FALSE,"missing",2021,"https://www.ajol.info/index.php/jsda"
NA,"2507-7783","2714-285X","Journal of Sociology and Development","Tanzania",TRUE,"missing",NA,"https://www.ajol.info/index.php/jsd"
"2307-6267","2307-6267","2311-1771","Journal of Student Affairs in Africa","South Africa",TRUE,"missing",2023,"https://www.ajol.info/index.php/jssa"
"2006-8808","2006-8808",NA,"Journal of Surgical Technique and Case Report","Nigeria",TRUE,"missing",2016,"https://www.ajol.info/index.php/jstcr"
"2467-8392","1712-9664",NA,"Journal of Sustainable Development Law and Policy (The)","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/jsdlp"
"1118-5570",NA,NA,"Journal of Technology and Education in Nigeria","Nigeria",FALSE,"missing",2015,"https://www.ajol.info/index.php/joten"
"1597-0597",NA,NA,"Journal of the Association of Nigerian Musicologists","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/janm"
"2617-3948","2617-3948","2617-393X","Journal of the Cameroon Academy of Sciences","Cameroon",TRUE,"missing",2022,"https://www.ajol.info/index.php/jcas"
"1998-6017",NA,NA,"Journal of the Eritrean Medical Association","Eritrea",TRUE,"missing",2010,"https://www.ajol.info/index.php/jema"
NA,NA,NA,"Journal of the Ghana Institution of Engineers","Ghana",FALSE,"missing",2009,"https://www.ajol.info/index.php/jgie"
"0855-3823","2737-713X",NA,"Journal of the Ghana Science Association","Ghana",FALSE,"missing",2014,"https://www.ajol.info/index.php/jgsa"
"2070-626X","1812-1004","2070-626X","Journal of the Musical Arts in Africa","South Africa",FALSE,"missing",2023,"https://www.ajol.info/index.php/jmaa"
"1116-4336",NA,NA,"Journal of the Nigerian Association of Mathematical Physics","Nigeria",FALSE,"missing",2021,"https://www.ajol.info/index.php/jonamp"
"1119-1716",NA,NA,"Journal of the Nigerian Infection Control Association","Nigeria",FALSE,"missing",2004,"https://www.ajol.info/index.php/jnica"
"0795-0039","0794-0033",NA,"Journal of the Nigerian Optometric Association","Nigeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/jnoa"
"0331-3727",NA,NA,"Journal of the Obafemi Awolowo University Medical Student's Association (IFEMED)","Nigeria",FALSE,"missing",2015,"https://www.ajol.info/index.php/ifemed"
NA,"2694-4561",NA,"Journal of the Pan African Thoracic Society","South Africa",TRUE,"missing",NA,"https://www.ajol.info/index.php/jpats"
"1012-2796",NA,NA,"Journal of the South African Society of Archivists","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/jsasa"
"1607-4106","1814-7593","1814-7607","Journal of Tropical Microbiology and Biotechnology","Kenya",FALSE,"missing",2013,"https://www.ajol.info/index.php/jtmb"
"1737-7803","1737-7803",NA,"Journal Tunisien d'ORL et de Chirurgie Cervico-Faciale","Tunisia",TRUE,"missing",2015,"https://www.ajol.info/index.php/jtdorl"
NA,NA,NA,"Jumuga Journal of Education, Oral Studies, and Human Sciences","Kenya",TRUE,"missing",NA,"https://www.ajol.info/index.php/jjeoshs"
NA,"2714-2426","2006-4772","Kanem Journal of Medical Sciences","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/kjms"
NA,"2756-6013","2756-6021","Kashere Journal of Education","Nigeria",TRUE,"missing",NA,"https://www.ajol.info/index.php/kje"
"2071-2162","2072-7992","2071-2162","KCA Journal of Business Management","Kenya",TRUE,"missing",2017,"https://www.ajol.info/index.php/kjbm"
"0256-5161","0256-5161",NA,"Kenya Veterinarian","Kenya",FALSE,"missing",2014,"https://www.ajol.info/index.php/kenvet"
"0856-552X","2546-2210","0856-0617","Kioo cha Lugha","Tanzania",FALSE,"missing",2022,"https://www.ajol.info/index.php/kcl"
"0023-1886","2546-2229","0856-048X","Kiswahili","Tanzania",FALSE,"missing",2022,"https://www.ajol.info/index.php/ksh"
"1596-5031",NA,NA,"Lagos Historical Review","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/lhr"
"1596-9487",NA,NA,"Lagos Journal of Library and Information Science","Nigeria",FALSE,"missing",2022,"https://www.ajol.info/index.php/ljlis"
"0075-7640","0075-7640",NA,"Lagos Notes and Records","Nigeria",FALSE,"missing",2015,"https://www.ajol.info/index.php/lnr"
"2077-4907","2077-4907","1028-1053","Law, Democracy & Development","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/ldd"
"1118-3713","1118-3713",NA,"LBS Management Review","Nigeria",FALSE,"missing",2005,"https://www.ajol.info/index.php/lbsmr"
"2458-746X","2458-746X","0855-1502","Legon Journal of the Humanities","Ghana",TRUE,"missing",2022,"https://www.ajol.info/index.php/ljh"
"1012-0009",NA,NA,"les cahiers du cread","Algeria",TRUE,"missing",2022,"https://www.ajol.info/index.php/cread"
NA,NA,NA,"Les Cahiers du MECAS","Algeria",FALSE,"missing",NA,"https://www.ajol.info/index.php/lcdm"
"2224-0039","2224-0039","1684-4904","Lexikos","South Africa",TRUE,"missing",2022,"https://www.ajol.info/index.php/lex"
