fue;issn;eissn
marine ornithology;1018-3337;2074-1235
middle east fertility society journal;1110-5690;2090-3251
momona ethiopian journal of science;2073-073X;2073-073X
moroccan journal of chemistry;2351-812X;2351-812X
muzikijournal of music research in africa;1812-5980;1753-593X
neotestamentica;0254-8356;NA
new contree;0379-9867;0379-9867
nigerian journal of clinical practice;1119-3077;1119-3077
onderstepoort journal of veterinary research;0030-2465;2219-0635
open veterinary journal;2226-4485;2218-6050
ostrich;0030-6525;1727-947X
pachyderm;1026-2881;NA
pan african medical journal;1937-8688;1937-8688
parasitologists united journal;1687-7942;2090-2646
per linguama journal of language learning;0259-2312;2224-0012
perspectives in education;0258-2236;NA
philosophical papers;0556-8641;1996-8523
phronimon;1561-4018;2413-3086
politikon;0258-9346;1470-1014
pythagoras;1012-2346;2223-7895
quaestiones mathematicae;1607-3606;1727-933X
reading writingjournal of the reading association of south africa;2079-8245;2308-1422
retail and marketing review;1817-4428;1817-4428
sa journal of human resource management;1683-7584;2071-078X
sa journal of industrial psychology;0258-5200;2071-0763
sa journal of radiology;1027-202X;2078-6778
sa pharmaceutical journal;2221-5875;2220-1017
sahara jjournal of social aspects of hivaids;1729-0376;1813-4424
saiee africa research journal;1991-1696;1991-1696
sajogsouth african journal of obstetrics and gynaecology;0038-2329;2305-8862
samj south african medical journal;0256-9574;2078-5135
south african medical journal;0038-2469;NA
scientific research and essays;1992-2248;NA
scripturainternational journal of bible religion and theology in southern africa;0254-1807;2305-445X
scrutiny2issues in english studies in southern africa;1812-5441;1753-5409
social dynamicsa journal of african studies;0253-3952;1940-7874
social workmaatskaplike werk;0037-8054;2312-7198
south african actuarial journal;1680-2179;1680-2179
south african archaeological bulletin;0038-1969;2224-4654
south african crime quarterlysacq;1991-3877;1991-3877
south african family practice;2078-6190;2078-6204
south african geographical journal;0373-6245;2151-2418
south african historical journal;0258-2473;1726-1686
south african journal for research in sport physical education and recreation;0379-9069;NA
south african journal of accounting research;1029-1954;2376-3981
south african journal of animal science;0375-1589;NA
south african journal of art history;0258-3542;0258-3542
south african journal of bioethics and law;1999-7639;1999-7639
south african journal of botany;0254-6299;1727-9321
bedryfsleiding;0378-9098;NA
south african journal of business management;2078-5585;2078-5976
south african journal of chemistrysuidafrikaanse tydskrif vir chemie;0379-4350;1996-840X
south african journal of child health;1994-3032;1999-7671
south african journal of childhood education;2223-7674;2223-7682
south african journal of clinical nutrition;1607-0658;2221-1268
south african journal of communication disorders;0379-8046;2225-4765
south african journal of cultural history;1011-3053;1011-3053
south african journal of economic and management sciences;1015-8812;2222-3436
south african journal of economics;0038-2280;1813-6982
south african journal of education;0256-0100;2076-3433
south african journal of enology and viticulture;0253-939X;2224-7904
south african journal of geology;1012-0750;1996-8590
verhandelinge van die geologiese vereniging van suid-afrika;0371-7208;NA
south african journal of geomatics;2225-8531;2225-8531
south african journal of higher education;1011-3487;1753-5913
south african journal of industrial engineering;1012-277X;2224-7890
south african journal of information management;2078-1865;1560-683X
south african journal of international affairssajia;1022-0461;1938-0275
south african journal of libraries and information science;0256-8861;2304-8263
south african journal of philosophy;0258-0136;2073-4867
south african journal of physiotherapy;0379-6175;2410-8219
south african journal of psychiatry;1608-9685;1608-9685
south african journal of psychology;0081-2463;2078-208X
south african journal of science;0038-2353;1996-7489
south african journal of surgery;0038-2361;2078-5151
south african journal on human rights;0258-7203;1996-2126
south african museums association bulletin;0370-8314;0370-8314
south african review of sociology;2152-8586;2072-1978
south african statistical journal;0038-271X;1996-8450
southern african business review;1998-8125;1998-8125
southern african humanities;1681-5564;NA
southern african journal of anaesthesia and analgesia;2220-1181;2220-1173
southern african journal of critical care;1562-8264;2078-676X
southern african journal of gynaecological oncology;2074-2835;2220-105X
southern african journal of hiv medicine;1608-9693;2078-6751
southern african journal of infectious diseases;2312-0053;2313-1810
southern african linguistics and applied language studies;1607-3614;1727-9461
southern forests;2070-2620;2070-2639
stellenbosch papers in linguistics plusspil plus;1726-541X;2224-3380
stellenbosch theological journal;2413-9459;2413-9467
strategic review for southern africa;1013-1108;1013-1108
tdthe journal for transdisciplinary research in southern africa;1817-4434;2415-2005
town and regional planning;1012-280X;2415-0495
transformationcritical perspectives on southern africa;0258-7696;1726-1368
tropical journal of pharmaceutical research;1596-5996;NA
tydskrif vir die suidafrikaanse reg;0257-7747;NA
tydskrif vir geesteswetenskappe;0041-4751;NA
tydskrif vir letterkunde;0041-476X;NA
water sa;0378-4738;1816-7950
